position;rider;result
1;Christopher Froome (GBr) Team Sky;64:40:21
2;Fabio Aru (Ita) Astana Pro Team;0:00:18
3;Romain Bardet (Fra) AG2R La Mondiale;0:00:23
4;Rigoberto Uran (Col) Cannondale-Drapac;0:00:29
5;Daniel Martin (Irl) Quick-Step Floors;0:01:12
6;Mikel Landa (Spa) Team Sky;0:01:17
7;Simon Yates (GBr) Orica-Scott;0:02:02
8;Louis Meintjes (RSA) UAE Team Emirates;0:05:09
9;Alberto Contador (Spa) Trek-Segafredo;0:05:37
10;Damiano Caruso (Ita) BMC Racing Team;0:06:05
11;Nairo Quintana (Col) Movistar Team;0:06:16
12;George Bennett (NZl) Team LottoNl-Jumbo;0:06:39
13;Warren Barguil (Fra) Team Sunweb;0:08:48
14;Pierre Latour (Fra) AG2R La Mondiale;0:13:41
15;Mikel Nieve (Spa) Team Sky;0:14:52
16;Alexis Vuillermoz (Fra) AG2R La Mondiale;0:14:54
17;Emanuel Buchmann (Ger) Bora-Hansgrohe;0:19:37
18;Carlos Betancur (Col) Movistar Team;0:22:17
19;Brice Feillu (Fra) Team Fortuneo - Oscaro;0:27:08
20;Guillaume Martin (Fra) Wanty - Groupe Gobert;0:27:28
21;Tiesj Benoot (Bel) Lotto Soudal;0:30:10
22;Serge Pauwels (Bel) Dimension Data;0:31:13
23;Sergio Henao (Col) Team Sky;0:31:56
24;Bauke Mollema (Ned) Trek-Segafredo;0:34:50
25;Jan Bakelants (Bel) AG2R La Mondiale;0:39:19
26;Roman Kreuziger (Cze) Orica-Scott;0:40:45
27;Tony Gallopin (Fra) Lotto Soudal;0:43:46
28;Sylvain Chavanel (Fra) Direct Energie;0:49:22
29;Romain Hardy (Fra) Team Fortuneo - Oscaro;0:54:12
30;Lilian Calmejane (Fra) Direct Energie;0:55:24
31;Daniel Navarro (Spa) Cofidis, Solutions Credits;0:57:45
32;Primoz Roglic (Slo) Team LottoNl-Jumbo;0:58:00
33;Jarlinson Pantano (Col) Trek-Segafredo;1:02:14
34;Nicolas Roche (Irl) BMC Racing Team;1:02:36
35;Thomas Degand (Bel) Wanty - Groupe Gobert;1:03:56
36;Ben Gastauer (Lux) AG2R La Mondiale;1:07:05
37;Robert Kiserlovski (Cro) Katusha-Alpecin;1:09:22
38;Mathias Frank (Swi) AG2R La Mondiale;1:09:38
39;Nathan Brown (USA) Cannondale-Drapac;1:13:45
40;Janez Brajkovic (Slo) Bahrain-Merida;1:13:49
41;Cyril Gautier (Fra) AG2R La Mondiale;1:15:21
42;Jonathan Castroviejo (Spa) Movistar Team;1:16:04
43;Luis Angel Mate (Spa) Cofidis, Solutions Credits;1:16:08
44;Haimar Zubeldia (Spa) Trek-Segafredo;1:17:36
45;Diego Ulissi (Ita) UAE Team Emirates;1:18:02
46;Pierre Luc Perichon (Fra) Team Fortuneo - Oscaro;1:19:37
47;Amael Moinard (Fra) BMC Racing Team;1:20:23
48;Rudy Molard (Fra) FDJ;1:22:40
49;Maxime Bouet (Fra) Team Fortuneo - Oscaro;1:23:03
50;Marco Minnaard (Ned) Wanty - Groupe Gobert;1:23:25
51;Pierre Rolland (Fra) Cannondale-Drapac;1:24:56
52;Thibaut Pinot (Fra) FDJ;1:25:38
53;Greg Van Avermaet (Bel) BMC Racing Team;1:25:48
54;Esteban Chaves (Col) Orica-Scott;1:27:25
55;Andrey Zeits (Kaz) Astana Pro Team;1:28:15
56;Andrew Talansky (USA) Cannondale-Drapac;1:28:51
57;Kristijan Durasek (Cro) UAE Team Emirates;1:33:59
58;Oliver Naesen (Bel) AG2R La Mondiale;1:34:18
59;Gianluca Brambilla (Ita) Quick-Step Floors;1:35:12
