position;rider;result
60;Thomas De Gendt (Bel) Lotto Soudal;1:36:03
61;Axel Domont (Fra) AG2R La Mondiale;1:37:01
62;Michal Kwiatkowski (Pol) Team Sky;1:37:32
63;Michael Matthews (Aus) Team Sunweb;1:38:32
64;Daryl Impey (RSA) Orica-Scott;1:38:59
65;Michael Valgren Andersen (Den) Astana Pro Team;1:39:20
66;Simon Geschke (Ger) Team Sunweb;1:39:46
67;Darwin Atapuma (Col) UAE Team Emirates;1:42:05
68;Laurens Ten Dam (Ned) Team Sunweb;1:42:14
69;Jens Keukeleire (Bel) Orica-Scott;1:42:24
70;Eduardo Sepulveda (Arg) Team Fortuneo - Oscaro;1:42:49
71;Koen De Kort (Ned) Trek-Segafredo;1:43:09
72;Maurits Lammertink (Ned) Katusha-Alpecin;1:43:30
73;Nicolas Edet (Fra) Cofidis, Solutions Credits;1:44:16
74;Alberto Bettiol (Ita) Cannondale-Drapac;1:44:22
75;Ondrej Cink (Cze) Bahrain-Merida;1:46:07
76;Tiago Machado (Por) Katusha-Alpecin;1:46:29
77;Angelo Tulik (Fra) Direct Energie;1:47:25
78;Simon Clarke (Aus) Cannondale-Drapac;1:47:30
79;Philippe Gilbert (Bel) Quick-Step Floors;1:48:28
80;Danilo Wyss (Swi) BMC Racing Team;1:49:45
81;Stefan Küng (Swi) BMC Racing Team;1:50:11
82;Michael Schär (Swi) BMC Racing Team;1:52:46
83;Tsgabu Grmay (Eth) Bahrain-Merida;1:52:52
84;Paul Martens (Ger) Team LottoNl-Jumbo;1:53:23
85;Pawel Poljanski (Pol) Bora-Hansgrohe;1:53:31
86;Dylan Van Baarle (Ned) Cannondale-Drapac;1:53:57
87;Alexey Lutsenko (Kaz) Astana Pro Team;1:54:18
88;Andrey Amador (CRc) Movistar Team;1:56:36
89;Edvald Boasson Hagen (Nor) Dimension Data;1:57:13
90;Romain Sicard (Fra) Direct Energie;1:57:21
91;Damien Howson (Aus) Orica-Scott;1:57:36
92;Alessandro De Marchi (Ita) BMC Racing Team;1:58:39
93;Yoann Offredo (Fra) Wanty - Groupe Gobert;2:00:31
94;Nils Politt (Ger) Katusha-Alpecin;2:01:15
95;Adam James Hansen (Aus) Lotto Soudal;2:01:35
96;Jay McCarthy (Aus) Bora-Hansgrohe;2:02:15
97;Tony Martin (Ger) Katusha-Alpecin;2:02:55
98;Florian Vachon (Fra) Team Fortuneo - Oscaro;2:02:56
99;Imanol Erviti (Spa) Movistar Team;2:02:59
100;Marco Marcato (Ita) UAE Team Emirates;2:03:44
101;Nikias Arndt (Ger) Team Sunweb;2:05:53
102;Zdenek Stybar (Cze) Quick-Step Floors;2:05:55
103;Ben Swift (GBr) UAE Team Emirates;2:09:05
104;Jesus Herrada (Spa) Movistar Team;2:09:27
105;Michael Albasini (Swi) Orica-Scott;2:09:39
106;Perrig Quemeneur (Fra) Direct Energie;2:10:09
107;Scott Thwaites (GBr) Dimension Data;2:11:24
108;Pieter Vanspeybrouck (Bel) Wanty - Groupe Gobert;2:11:50
109;Patrick Bevin (NZl) Cannondale-Drapac;2:12:42
110;Elie Gesbert (Fra) Team Fortuneo - Oscaro;2:13:02
111;Julien Simon (Fra) Cofidis, Solutions Credits;2:17:26
112;Yukiya Arashiro (Jpn) Bahrain-Merida;2:17:42
113;Matteo Bono (Ita) UAE Team Emirates;2:18:38
114;Javier Moreno (Spa) Bahrain-Merida;2:20:27
115;Laurent Pichon (Fra) Team Fortuneo - Oscaro;2:20:33
116;Jack Bauer (NZl) Quick-Step Floors;2:20:47
117;Timo Roosen (Ned) Team LottoNl-Jumbo;2:20:50
118;Thomas Voeckler (Fra) Direct Energie;2:20:57
119;Vegard Stake Laengen (Nor) UAE Team Emirates;2:21:27
120;Vasil Kiryienka (Blr) Team Sky;2:21:33
121;Daniele Bennati (Ita) Movistar Team;2:21:57
122;Marcus Burghardt (Ger) Bora-Hansgrohe;2:21:59
123;Bakhtiyar Kozhatayev (Kaz) Astana Pro Team;2:22:08
124;Dion Smith (NZl) Wanty - Groupe Gobert;2:23:42
125;Maciej Bodnar (Pol) Bora-Hansgrohe;2:24:19
126;Markel Irizar (Spa) Trek-Segafredo;2:26:21
127;Reinardt Janse Van Rensburg (RSA) Dimension Data;2:26:24
128;Dmitriy Gruzdev (Kaz) Astana Pro Team;2:26:45
129;Frederik Backaert (Bel) Wanty - Groupe Gobert;2:27:08
130;John Degenkolb (Ger) Trek-Segafredo;2:27:17
131;Lars Ytting Bak (Den) Lotto Soudal;2:28:39
132;Jasha Sütterlin (Ger) Movistar Team;2:30:45
133;Andrea Pasqualon (Ita) Wanty - Groupe Gobert;2:30:54
134;Cyril Lemoine (Fra) Cofidis, Solutions Credits;2:31:40
135;Andriy Grivko (Ukr) Astana Pro Team;2:32:10
136;Julien Vermote (Bel) Quick-Step Floors;2:32:37
137;Sonny Colbrelli (Ita) Bahrain-Merida;2:32:56
138;Adrien Petit (Fra) Direct Energie;2:34:10
139;Mike Teunissen (Ned) Team Sunweb;2:34:20
140;Rick Zabel (Ger) Katusha-Alpecin;2:34:54
141;Grega Bole (Slo) Bahrain-Merida;2:35:37
142;Michael Gogl (Aut) Trek-Segafredo;2:37:21
143;Yohann Gene (Fra) Direct Energie;2:37:31
144;Alexander Kristoff (Nor) Katusha-Alpecin;2:38:13
145;Jurgen Roelandts (Bel) Lotto Soudal;2:38:52
146;Stephen Cummings (GBr) Dimension Data;2:38:53
147;Christophe Laporte (Fra) Cofidis, Solutions Credits;2:39:50
148;Nacer Bouhanni (Fra) Cofidis, Solutions Credits;2:41:24
149;Roy Curvers (Ned) Team Sunweb;2:41:25
150;Thomas Boudat (Fra) Direct Energie;2:42:57
151;Mathew Hayman (Aus) Orica-Scott;2:43:06
152;Reto Hollenstein (Swi) Katusha-Alpecin;2:44:15
153;Guillaume Van Keirsbulck (Bel) Wanty - Groupe Gobert;2:44:29
154;Christian Knees (Ger) Team Sky;2:49:31
155;Fabio Sabatini (Ita) Quick-Step Floors;2:50:37
156;Marco Haller (Aut) Katusha-Alpecin;2:51:31
157;Marcel Kittel (Ger) Quick-Step Floors;2:52:53
158;Davide Cimolai (Ita) FDJ;2:53:52
159;Jaco Venter (RSA) Dimension Data;2:54:46
160;Dylan Groenewegen (Ned) Team LottoNl-Jumbo;2:55:27
161;Ramon Sinkeldam (Ned) Team Sunweb;2:55:40
162;Olivier Le Gac (Fra) FDJ;2:56:58
163;Florian Senechal (Fra) Cofidis, Solutions Credits;2:57:14
164;André Greipel (Ger) Lotto Soudal;2:57:34
165;Borut Bozic (Slo) Bahrain-Merida;2:58:05
166;Marcel Sieberg (Ger) Lotto Soudal;2:58:59
167;Taylor Phinney (USA) Cannondale-Drapac;3:00:11
168;Bernhard Eisel (Aut) Dimension Data;3:01:30
169;Dimitri Claeys (Bel) Cofidis, Solutions Credits;3:02:02
170;Albert Timmer (Ned) Team Sunweb;3:02:09
171;Robert Wagner (Ger) Team LottoNl-Jumbo;3:04:56
172;Rüdiger Selig (Ger) Bora-Hansgrohe;3:06:38
173;Thomas Leezer (Ned) Team LottoNl-Jumbo;3:08:54
174;Luke Rowe (GBr) Team Sky;3:16:00
175;Daniel Mclay (GBr) Team Fortuneo - Oscaro;3:24:19
