position;rider;result
108;Bakhtiyar Kozhatayev (Kaz) Astana Pro Team;1:34:58
109;Scott Thwaites (GBr) Dimension Data;1:35:28
110;Lars Ytting Bak (Den) Lotto Soudal;1:36:05
111;Tsgabu Grmay (Eth) Bahrain-Merida;1:36:54
112;Michael Albasini (Swi) Orica-Scott;1:36:57
113;Marco Marcato (Ita) UAE Team Emirates;1:38:08
114;Jack Bauer (NZl) Quick-Step Floors;1:39:12
115;Romain Sicard (Fra) Direct Energie;1:39:53
116;Matteo Bono (Ita) UAE Team Emirates;1:40:00
117;Yukiya Arashiro (Jpn) Bahrain-Merida;1:40:18
118;Timo Roosen (Ned) Team LottoNl-Jumbo;1:40:29
119;Thomas Voeckler (Fra) Direct Energie;1:40:36
120;Jesus Herrada (Spa) Movistar Team;1:40:57
121;Fabio Felline (Ita) Trek-Segafredo;1:41:03
122;Ben Swift (GBr) UAE Team Emirates;1:42:55
123;Markel Irizar (Spa) Trek-Segafredo;1:43:21
124;Laurent Pichon (Fra) Team Fortuneo - Oscaro;1:46:00
125;Jurgen Roelandts (Bel) Lotto Soudal;1:46:18
126;Stephen Cummings (GBr) Dimension Data;1:46:19
127;Andrea Pasqualon (Ita) Wanty - Groupe Gobert;1:46:40
128;Rick Zabel (Ger) Katusha-Alpecin;1:47:44
129;Dmitriy Gruzdev (Kaz) Astana Pro Team;1:48:07
130;Andriy Grivko (Ukr) Astana Pro Team;1:48:08
131;Grega Bole (Slo) Bahrain-Merida;1:48:27
132;Vasil Kiryienka (Blr) Team Sky;1:48:38
133;Tony Martin (Ger) Katusha-Alpecin;1:48:46
134;Maciej Bodnar (Pol) Bora-Hansgrohe;1:48:52
135;Dion Smith (NZl) Wanty - Groupe Gobert;1:48:57
136;John Degenkolb (Ger) Trek-Segafredo;1:49:11
137;Reinardt Janse Van Rensburg (RSA) Dimension Data;1:49:21
138;Mike Teunissen (Ned) Team Sunweb;1:49:22
139;Marcus Burghardt (Ger) Bora-Hansgrohe;1:50:04
140;Jasha Sütterlin (Ger) Movistar Team;1:52:07
141;Adrien Petit (Fra) Direct Energie;1:52:53
142;Michael Gogl (Aut) Trek-Segafredo;1:53:07
143;Tim Wellens (Bel) Lotto Soudal;1:53:23
144;Frederik Backaert (Bel) Wanty - Groupe Gobert;1:53:44
145;Mathew Hayman (Aus) Orica-Scott;1:55:09
146;Daniele Bennati (Ita) Movistar Team;1:55:11
147;Yohann Gene (Fra) Direct Energie;1:57:10
148;Roy Curvers (Ned) Team Sunweb;1:57:11
149;Julien Vermote (Bel) Quick-Step Floors;1:57:47
150;Sonny Colbrelli (Ita) Bahrain-Merida;1:59:02
151;Cyril Lemoine (Fra) Cofidis, Solutions Credits;2:00:05
152;Marcel Kittel (Ger) Quick-Step Floors;2:00:19
153;Fabio Sabatini (Ita) Quick-Step Floors;2:00:59
154;Thomas Boudat (Fra) Direct Energie;2:01:39
155;Christian Knees (Ger) Team Sky;2:02:21
156;Dylan Groenewegen (Ned) Team LottoNl-Jumbo;2:02:53
157;Ramon Sinkeldam (Ned) Team Sunweb;2:03:06
158;Guillaume Van Keirsbulck (Bel) Wanty - Groupe Gobert;2:03:12
159;Nacer Bouhanni (Fra) Cofidis, Solutions Credits;2:03:36
160;Alexander Kristoff (Nor) Katusha-Alpecin;2:03:47
161;Christophe Laporte (Fra) Cofidis, Solutions Credits;2:03:51
162;Reto Hollenstein (Swi) Katusha-Alpecin;2:04:18
163;Marco Haller (Aut) Katusha-Alpecin;2:04:21
164;André Greipel (Ger) Lotto Soudal;2:05:00
165;Marcel Sieberg (Ger) Lotto Soudal;2:06:25
166;Florian Senechal (Fra) Cofidis, Solutions Credits;2:07:36
167;Taylor Phinney (USA) Cannondale-Drapac;2:07:37
168;Daniel Mclay (GBr) Team Fortuneo - Oscaro;2:08:45
169;Bernhard Eisel (Aut) Dimension Data;2:08:56
170;Borut Bozic (Slo) Bahrain-Merida;2:10:55
171;Jaco Venter (RSA) Dimension Data;2:11:44
172;Robert Wagner (Ger) Team LottoNl-Jumbo;2:12:22
173;Dimitri Claeys (Bel) Cofidis, Solutions Credits;2:14:37
174;Albert Timmer (Ned) Team Sunweb;2:14:44
175;Rüdiger Selig (Ger) Bora-Hansgrohe;2:15:45
176;Davide Cimolai (Ita) FDJ;2:16:04
177;Olivier Le Gac (Fra) FDJ;2:20:44
178;Thomas Leezer (Ned) Team LottoNl-Jumbo;2:27:46
179;Luke Rowe (GBr) Team Sky;2:31:56
