position;rider;result
1;Fabio Aru (Ita) Astana Pro Team;52:51:49
2;Christopher Froome (GBr) Team Sky;0:00:06
3;Romain Bardet (Fra) AG2R La Mondiale;0:00:25
4;Rigoberto Uran (Col) Cannondale-Drapac;0:00:35
5;Daniel Martin (Irl) Quick-Step Floors;0:01:41
6;Simon Yates (GBr) Orica-Scott;0:02:13
7;Mikel Landa (Spa) Team Sky;0:02:55
8;Nairo Quintana (Col) Movistar Team;0:04:01
9;George Bennett (NZl) Team LottoNl-Jumbo;0:04:04
10;Louis Meintjes (RSA) UAE Team Emirates;0:04:51
11;Alberto Contador (Spa) Trek-Segafredo;0:07:14
12;Mikel Nieve (Spa) Team Sky;0:07:30
13;Pierre Roger Latour (Fra) AG2R La Mondiale;0:08:13
14;Damiano Caruso (Ita) BMC Racing Team;0:08:53
15;Alexis Vuillermoz (Fra) AG2R La Mondiale;0:12:16
16;Sergio Henao (Col) Team Sky;0:13:46
17;Emanuel Buchmann (Ger) Bora-Hansgrohe;0:14:14
18;Carlos Betancur (Col) Movistar Team;0:15:40
19;Warren Barguil (Fra) Team Sunweb;0:16:03
20;Brice Feillu (Fra) Team Fortuneo - Oscaro;0:16:23
21;Guillaume Martin (Fra) Wanty - Groupe Gobert;0:19:27
22;Tiesj Benoot (Bel) Lotto Soudal;0:23:01
23;Jakob Fuglsang (Den) Astana Pro Team;0:29:03
24;Jarlinson Pantano (Col) Trek-Segafredo;0:29:56
25;Jan Bakelants (Bel) AG2R La Mondiale;0:32:10
26;Roman Kreuziger (Cze) Orica-Scott;0:32:20
27;Serge Pauwels (Bel) Dimension Data;0:33:34
28;Bauke Mollema (Ned) Trek-Segafredo;0:34:29
29;Sylvain Chavanel (Fra) Direct Energie;0:38:59
30;Thomas Degand (Bel) Wanty - Groupe Gobert;0:45:02
31;Tony Gallopin (Fra) Lotto Soudal;0:45:12
32;Daniel Navarro (Spa) Cofidis, Solutions Credits;0:45:48
33;Primoz Roglic (Slo) Team LottoNl-Jumbo;0:46:45
34;Jonathan Castroviejo (Spa) Movistar Team;0:47:11
35;Lilian Calmejane (Fra) Direct Energie;0:47:50
36;Pierre Rolland (Fra) Cannondale-Drapac;0:48:35
37;Romain Hardy (Fra) Team Fortuneo - Oscaro;0:48:54
38;Nicolas Roche (Irl) BMC Racing Team;0:49:08
39;Janez Brajkovic (Slo) Bahrain-Merida;0:49:41
40;Haimar Zubeldia (Spa) Trek-Segafredo;0:49:42
41;Andrew Talansky (USA) Cannondale-Drapac;0:50:13
42;Luis Angel Mate (Spa) Cofidis, Solutions Credits;0:50:16
43;Mathias Frank (Swi) AG2R La Mondiale;0:52:01
44;Nathan Brown (USA) Cannondale-Drapac;0:53:29
45;Ben Gastauer (Lux) AG2R La Mondiale;0:54:31
46;Robert Kiserlovski (Cro) Katusha-Alpecin;0:55:19
47;Rudy Molard (Fra) FDJ;0:55:47
48;Esteban Chaves (Col) Orica-Scott;0:55:52
49;Cyril Gautier (Fra) AG2R La Mondiale;0:56:42
50;Marco Minnaard (Ned) Wanty - Groupe Gobert;0:58:55
51;Maxime Bouet (Fra) Team Fortuneo - Oscaro;1:01:30
52;Eduardo Sepulveda (Arg) Team Fortuneo - Oscaro;1:01:32
53;Gianluca Brambilla (Ita) Quick-Step Floors;1:01:55
54;Nicolas Edet (Fra) Cofidis, Solutions Credits;1:02:59
55;Ondrej Cink (Cze) Bahrain-Merida;1:03:14
56;Laurens Ten Dam (Ned) Team Sunweb;1:05:48
57;Amael Moinard (Fra) BMC Racing Team;1:06:15
58;Oliver Naesen (Bel) AG2R La Mondiale;1:09:53
59;Greg Van Avermaet (Bel) BMC Racing Team;1:10:15
60;Tiago Machado (Por) Katusha-Alpecin;1:11:21
61;Michael Valgren Andersen (Den) Astana Pro Team;1:11:41
62;Axel Domont (Fra) AG2R La Mondiale;1:11:46
63;Pawel Poljanski (Pol) Bora-Hansgrohe;1:13:22
64;Simon Clarke (Aus) Cannondale-Drapac;1:13:25
65;Michal Kwiatkowski (Pol) Team Sky;1:15:33
66;Thibaut Pinot (Fra) FDJ;1:15:51
67;Jens Keukeleire (Bel) Orica-Scott;1:15:53
68;Koen De Kort (Ned) Trek-Segafredo;1:16:14
69;Yoann Offredo (Fra) Wanty - Groupe Gobert;1:16:17
70;Andrey Zeits (Kaz) Astana Pro Team;1:17:03
71;Darwin Atapuma (Col) UAE Team Emirates;1:17:35
72;Danilo Wyss (Swi) BMC Racing Team;1:17:56
73;Alexey Lutsenko (Kaz) Astana Pro Team;1:18:27
74;Damien Howson (Aus) Orica-Scott;1:18:58
75;Pierre Luc Perichon (Fra) Team Fortuneo - Oscaro;1:19:22
76;Daryl Impey (RSA) Orica-Scott;1:19:33
77;Arthur Vichot (Fra) FDJ; 
78;Diego Ulissi (Ita) UAE Team Emirates;1:20:51
79;Simon Geschke (Ger) Team Sunweb;1:21:07
80;Angelo Tulik (Fra) Direct Energie;1:21:31
81;Thomas De Gendt (Bel) Lotto Soudal;1:21:34
82;Stefan Küng (Swi) BMC Racing Team;1:22:23
83;Perrig Quemeneur (Fra) Direct Energie;1:22:59
84;Philippe Gilbert (Bel) Quick-Step Floors;1:23:06
85;Edvald Boasson Hagen (Nor) Dimension Data;1:23:23
86;Kristijan Durasek (Cro) UAE Team Emirates;1:23:27
87;Imanol Erviti (Spa) Movistar Team;1:24:21
88;Pieter Vanspeybrouck (Bel) Wanty - Groupe Gobert;1:24:27
89;Alberto Bettiol (Ita) Cannondale-Drapac;1:24:54
90;Paul Martens (Ger) Team LottoNl-Jumbo;1:25:18
91;Michael Schär (Swi) BMC Racing Team;1:25:22
92;Patrick Bevin (NZl) Cannondale-Drapac;1:25:32
93;Nils Politt (Ger) Katusha-Alpecin;1:26:12
94;Michael Matthews (Aus) Team Sunweb;1:26:17
95;Adam James Hansen (Aus) Lotto Soudal;1:26:50
96;Maurits Lammertink (Ned) Katusha-Alpecin;1:28:16
97;Jay McCarthy (Aus) Bora-Hansgrohe;1:28:21
98;Dylan Van Baarle (Ned) Cannondale-Drapac;1:29:19
99;Florian Vachon (Fra) Team Fortuneo - Oscaro;1:30:52
100;Nikias Arndt (Ger) Team Sunweb;1:31:08
101;Julien Simon (Fra) Cofidis, Solutions Credits;1:31:30
102;Vegard Stake Laengen (Nor) UAE Team Emirates;1:34:17
103;Elie Gesbert (Fra) Team Fortuneo - Oscaro;1:34:24
104;Andrey Amador (CRc) Movistar Team;1:34:31
105;Javier Moreno (Spa) Bahrain-Merida;1:34:38
106;Alessandro De Marchi (Ita) BMC Racing Team;1:34:43
107;Zdenek Stybar (Cze) Quick-Step Floors;1:34:53
