position;rider;result
44;Maxime Bouet (Fra) Team Fortuneo - Oscaro;0:05:22
45;Bauke Mollema (Ned) Trek-Segafredo;0:05:23
46;Warren Barguil (Fra) Team Sunweb;0:05:24
47;Primoz Roglic (Slo) Team LottoNl-Jumbo;0:05:36
48;Alexey Lutsenko (Kaz) Astana Pro Team;0:05:42
49;Elie Gesbert (Fra) Team Fortuneo - Oscaro;0:05:46
50;Jarlinson Pantano (Col) Trek-Segafredo;0:05:52
51;Robert Kiserlovski (Cro) Katusha-Alpecin;0:06:06
52;Philippe Gilbert (Bel) Quick-Step Floors;0:06:13
53;Marco Minnaard (Ned) Wanty - Groupe Gobert;0:06:52
54;Diego Ulissi (Ita) UAE Team Emirates;0:07:06
55;Tiago Machado (Por) Katusha-Alpecin;0:07:23
56;Jonathan Castroviejo (Spa) Movistar Team;0:07:31
57;Arthur Vichot (Fra) FDJ;0:07:32
58;Thibaut Pinot (Fra) FDJ;0:07:38
59;Jay McCarthy (Aus) Bora-Hansgrohe;0:08:05
60;Daryl Impey (RSA) Orica-Scott;0:08:24
61;Simon Geschke (Ger) Team Sunweb;0:08:47
62;Manuele Mori (Ita) UAE Team Emirates;0:09:10
63;Haimar Zubeldia (Spa) Trek-Segafredo;0:09:16
64;Alberto Bettiol (Ita) Cannondale-Drapac;0:09:37
65;Romain Hardy (Fra) Team Fortuneo - Oscaro;0:09:38
66;Luis Angel Mate (Spa) Cofidis, Solutions Credits;0:09:46
67;Edvald Boasson Hagen (Nor) Dimension Data;0:09:53
68;Oliver Naesen (Bel) AG2R La Mondiale;0:10:30
69;Pierre Rolland (Fra) Cannondale-Drapac;0:10:33
70;Ben Gastauer (Lux) AG2R La Mondiale;0:10:39
71;Simon Clarke (Aus) Cannondale-Drapac;0:10:41
72;Jesus Herrada (Spa) Movistar Team;0:11:07
73;Greg Van Avermaet (Bel) BMC Racing Team;0:11:08
74;Cyril Gautier (Fra) AG2R La Mondiale;0:11:09
75;Nikias Arndt (Ger) Team Sunweb;0:11:16
76;Marco Marcato (Ita) UAE Team Emirates;0:11:30
77;Zdenek Stybar (Cze) Quick-Step Floors;0:11:33
78;Paul Martens (Ger) Team LottoNl-Jumbo;0:11:46
79;Daniel Navarro (Spa) Cofidis, Solutions Credits;0:11:54
80;Reinardt Janse Van Rensburg (RSA) Dimension Data; 
81;Patrick Bevin (NZl) Cannondale-Drapac;0:12:26
82;Jens Keukeleire (Bel) Orica-Scott;0:12:28
83;Pierre Luc Perichon (Fra) Team Fortuneo - Oscaro;0:12:31
84;Michael Albasini (Swi) Orica-Scott;0:12:38
85;Vasil Kiryienka (Blr) Team Sky;0:12:40
86;Angelo Tulik (Fra) Direct Energie;0:12:46
87;Lars Ytting Bak (Den) Lotto Soudal;0:12:56
88;Damien Howson (Aus) Orica-Scott;0:13:08
89;Mike Teunissen (Ned) Team Sunweb;0:13:10
90;Perrig Quemeneur (Fra) Direct Energie;0:13:11
91;Robert Gesink (Ned) Team LottoNl-Jumbo;0:13:16
92;Pieter Vanspeybrouck (Bel) Wanty - Groupe Gobert;0:13:18
93;Jack Bauer (NZl) Quick-Step Floors;0:13:20
94;Kristijan Durasek (Cro) UAE Team Emirates;0:13:21
95;Jos Van Emden (Ned) Team LottoNl-Jumbo;0:13:32
96;Vegard Stake Laengen (Nor) UAE Team Emirates;0:13:38
97;Christian Knees (Ger) Team Sky;0:13:49
98;Gianluca Brambilla (Ita) Quick-Step Floors;0:13:50
99;Imanol Erviti (Spa) Movistar Team;0:13:57
100;Michael Matthews (Aus) Team Sunweb; 
101;Darwin Atapuma (Col) UAE Team Emirates;0:14:00
102;Julien Simon (Fra) Cofidis, Solutions Credits;0:14:02
103;Yukiya Arashiro (Jpn) Bahrain-Merida;0:14:04
104;Timo Roosen (Ned) Team LottoNl-Jumbo;0:14:10
105;Koen De Kort (Ned) Trek-Segafredo;0:14:11
106;Jurgen Roelandts (Bel) Lotto Soudal;0:14:17
107;Danilo Wyss (Swi) BMC Racing Team; 
108;Yoann Offredo (Fra) Wanty - Groupe Gobert;0:14:29
109;Andrea Pasqualon (Ita) Wanty - Groupe Gobert;0:14:40
110;Dion Smith (NZl) Wanty - Groupe Gobert;0:14:52
111;Marcus Burghardt (Ger) Bora-Hansgrohe;0:14:53
112;Thomas Voeckler (Fra) Direct Energie;0:15:04
113;Dario Cataldo (Ita) Astana Pro Team;0:15:15
114;Andrey Zeits (Kaz) Astana Pro Team;0:15:29
115;Rick Zabel (Ger) Katusha-Alpecin; 
116;Markel Irizar (Spa) Trek-Segafredo;0:15:32
117;Fabio Felline (Ita) Trek-Segafredo;0:15:39
118;Andriy Grivko (Ukr) Astana Pro Team;0:16:01
119;Sonny Colbrelli (Ita) Bahrain-Merida;0:16:05
120;Tony Gallopin (Fra) Lotto Soudal;0:16:24
121;Stefan Küng (Swi) BMC Racing Team;0:16:31
122;Michael Valgren Andersen (Den) Astana Pro Team;0:16:41
123;Maciej Bodnar (Pol) Bora-Hansgrohe;0:16:46
124;Adrien Petit (Fra) Direct Energie;0:16:51
125;Grega Bole (Slo) Bahrain-Merida;0:17:05
126;Maurits Lammertink (Ned) Katusha-Alpecin;0:17:07
127;Daniele Bennati (Ita) Movistar Team;0:17:09
128;John Degenkolb (Ger) Trek-Segafredo;0:17:11
129;Alessandro De Marchi (Ita) BMC Racing Team;0:17:55
130;Tsgabu Grmay (Eth) Bahrain-Merida;0:17:57
131;Marcel Kittel (Ger) Quick-Step Floors;0:18:15
132;Yohann Gene (Fra) Direct Energie;0:18:17
133;Fabio Sabatini (Ita) Quick-Step Floors;0:18:43
134;Ben Swift (GBr) UAE Team Emirates; 
135;Nils Politt (Ger) Katusha-Alpecin;0:18:44
136;Dmitriy Gruzdev (Kaz) Astana Pro Team;0:18:46
137;Ramon Sinkeldam (Ned) Team Sunweb;0:18:51
138;Florian Vachon (Fra) Team Fortuneo - Oscaro;0:18:54
139;Javier Moreno (Spa) Bahrain-Merida;0:19:01
140;Scott Thwaites (GBr) Dimension Data;0:19:10
141;Roy Curvers (Ned) Team Sunweb;0:19:41
142;Amael Moinard (Fra) BMC Racing Team;0:19:52
143;Arnaud Demare (Fra) FDJ;0:19:54
144;Mathew Hayman (Aus) Orica-Scott;0:19:58
145;Nathan Brown (USA) Cannondale-Drapac; 
146;Nacer Bouhanni (Fra) Cofidis, Solutions Credits;0:20:06
147;Bernhard Eisel (Aut) Dimension Data;0:20:19
148;Dylan Groenewegen (Ned) Team LottoNl-Jumbo; 
149;Dylan Van Baarle (Ned) Cannondale-Drapac;0:20:43
150;Christophe Laporte (Fra) Cofidis, Solutions Credits;0:21:07
151;Michael Gogl (Aut) Trek-Segafredo;0:21:28
152;Alexander Kristoff (Nor) Katusha-Alpecin;0:21:31
153;Romain Sicard (Fra) Direct Energie;0:21:33
154;Thomas De Gendt (Bel) Lotto Soudal;0:21:38
155;Pawel Poljanski (Pol) Bora-Hansgrohe;0:21:59
156;Florian Senechal (Fra) Cofidis, Solutions Credits;0:22:16
157;Thomas Boudat (Fra) Direct Energie;0:22:17
158;Mark Renshaw (Aus) Dimension Data;0:22:31
159;Matteo Trentin (Ita) Quick-Step Floors;0:22:40
160;André Greipel (Ger) Lotto Soudal;0:22:48
161;Daniel Mclay (GBr) Team Fortuneo - Oscaro;0:22:50
162;Julien Vermote (Bel) Quick-Step Floors;0:22:59
163;Robert Wagner (Ger) Team LottoNl-Jumbo;0:23:18
164;Frederik Backaert (Bel) Wanty - Groupe Gobert;0:23:19
165;Taylor Phinney (USA) Cannondale-Drapac;0:23:20
166;Andrey Amador (CRc) Movistar Team;0:23:22
167;Jasha Sütterlin (Ger) Movistar Team;0:23:27
168;Marcel Sieberg (Ger) Lotto Soudal;0:23:34
169;Stephen Cummings (GBr) Dimension Data;0:23:54
170;Adam James Hansen (Aus) Lotto Soudal;0:24:14
171;Laurent Pichon (Fra) Team Fortuneo - Oscaro;0:24:24
172;Ignatas Konovalovas (Ltu) FDJ;0:24:28
173;Bakhtiyar Kozhatayev (Kaz) Astana Pro Team;0:25:20
174;Michael Schär (Swi) BMC Racing Team;0:25:24
175;Tony Martin (Ger) Katusha-Alpecin;0:25:50
176;Matteo Bono (Ita) UAE Team Emirates; 
177;Cyril Lemoine (Fra) Cofidis, Solutions Credits;0:26:21
178;Borut Bozic (Slo) Bahrain-Merida;0:26:55
179;Guillaume Van Keirsbulck (Bel) Wanty - Groupe Gobert;0:26:59
180;Jacopo Guarnieri (Ita) FDJ;0:28:34
181;Dimitri Claeys (Bel) Cofidis, Solutions Credits;0:28:51
182;Davide Cimolai (Ita) FDJ;0:29:16
183;Jaco Venter (RSA) Dimension Data;0:29:21
184;Axel Domont (Fra) AG2R La Mondiale;0:29:30
185;Albert Timmer (Ned) Team Sunweb;0:31:09
186;Rüdiger Selig (Ger) Bora-Hansgrohe;0:33:29
187;Juraj Sagan (Svk) Bora-Hansgrohe;0:33:34
188;Reto Hollenstein (Swi) Katusha-Alpecin;0:35:04
189;Marco Haller (Aut) Katusha-Alpecin;0:36:04
190;Mickael Delage (Fra) FDJ;0:38:21
191;Luke Rowe (GBr) Team Sky;0:39:21
192;Thomas Leezer (Ned) Team LottoNl-Jumbo;0:41:03
193;Olivier Le Gac (Fra) FDJ;0:52:37
