position;rider;result
60;Amael Moinard (Fra) BMC Racing Team;1:25:36
61;Tiago Machado (Por) Katusha-Alpecin;1:26:22
62;Simon Clarke (Aus) Cannondale-Drapac;1:27:23
63;Michael Valgren Andersen (Den) Astana Pro Team;1:27:45
64;Eduardo Sepulveda (Arg) Team Fortuneo - Oscaro;1:28:35
65;Ondrej Cink (Cze) Bahrain-Merida;1:28:56
66;Nicolas Edet (Fra) Cofidis, Solutions Credits;1:30:02
67;Laurens Ten Dam (Ned) Team Sunweb;1:30:39
68;Jens Keukeleire (Bel) Orica-Scott;1:30:49
69;Thibaut Pinot (Fra) FDJ;1:30:59
70;Kristijan Durasek (Cro) UAE Team Emirates;1:31:14
71;Koen De Kort (Ned) Trek-Segafredo;1:31:34
72;Pawel Poljanski (Pol) Bora-Hansgrohe;1:33:24
73;Daryl Impey (RSA) Orica-Scott;1:33:44
74;Angelo Tulik (Fra) Direct Energie;1:35:50
75;Thomas De Gendt (Bel) Lotto Soudal;1:36:17
76;Philippe Gilbert (Bel) Quick-Step Floors;1:36:53
77;Edvald Boasson Hagen (Nor) Dimension Data;1:37:06
78;Danilo Wyss (Swi) BMC Racing Team;1:38:10
79;Stefan Küng (Swi) BMC Racing Team;1:38:36
80;Paul Martens (Ger) Team LottoNl-Jumbo;1:39:09
81;Michael Matthews (Aus) Team Sunweb;1:39:53
82;Simon Geschke (Ger) Team Sunweb;1:40:00
83;Alberto Bettiol (Ita) Cannondale-Drapac;1:40:28
84;Nils Politt (Ger) Katusha-Alpecin;1:41:08
85;Michael Schär (Swi) BMC Racing Team;1:41:11
86;Adam James Hansen (Aus) Lotto Soudal;1:41:28
87;Jay McCarthy (Aus) Bora-Hansgrohe;1:42:08
88;Alexey Lutsenko (Kaz) Astana Pro Team;1:42:43
89;Yoann Offredo (Fra) Wanty - Groupe Gobert;1:43:20
90;Maurits Lammertink (Ned) Katusha-Alpecin;1:44:48
91;Nikias Arndt (Ger) Team Sunweb;1:45:46
92;Damien Howson (Aus) Orica-Scott;1:46:01
93;Zdenek Stybar (Cze) Quick-Step Floors;1:48:44
94;Perrig Quemeneur (Fra) Direct Energie;1:50:02
95;Dylan Van Baarle (Ned) Cannondale-Drapac;1:51:05
96;Scott Thwaites (GBr) Dimension Data;1:51:17
97;Andrey Amador (CRc) Movistar Team;1:51:21
98;Florian Vachon (Fra) Team Fortuneo - Oscaro; 
99;Imanol Erviti (Spa) Movistar Team;1:51:24
100;Pieter Vanspeybrouck (Bel) Wanty - Groupe Gobert;1:51:30
101;Marco Marcato (Ita) UAE Team Emirates;1:52:09
102;Michael Albasini (Swi) Orica-Scott;1:52:28
103;Patrick Bevin (NZl) Cannondale-Drapac;1:52:35
104;Tsgabu Grmay (Eth) Bahrain-Merida;1:53:06
105;Romain Sicard (Fra) Direct Energie;1:57:14
106;Julien Simon (Fra) Cofidis, Solutions Credits;1:57:19
107;Ben Swift (GBr) UAE Team Emirates;1:57:30
108;Jesus Herrada (Spa) Movistar Team;1:57:52
109;Alessandro De Marchi (Ita) BMC Racing Team;1:59:24
110;Javier Moreno (Spa) Bahrain-Merida;2:00:20
111;Laurent Pichon (Fra) Team Fortuneo - Oscaro;2:00:26
112;Jack Bauer (NZl) Quick-Step Floors;2:00:40
113;Timo Roosen (Ned) Team LottoNl-Jumbo;2:00:43
114;Thomas Voeckler (Fra) Direct Energie;2:00:50
115;Vegard Stake Laengen (Nor) UAE Team Emirates;2:01:20
116;Elie Gesbert (Fra) Team Fortuneo - Oscaro;2:01:27
117;Bakhtiyar Kozhatayev (Kaz) Astana Pro Team;2:02:01
118;Dion Smith (NZl) Wanty - Groupe Gobert;2:03:35
119;Tony Martin (Ger) Katusha-Alpecin;2:04:06
120;Maciej Bodnar (Pol) Bora-Hansgrohe;2:04:12
121;Vasil Kiryienka (Blr) Team Sky;2:04:22
122;Yukiya Arashiro (Jpn) Bahrain-Merida;2:06:07
123;Frederik Backaert (Bel) Wanty - Groupe Gobert;2:07:01
124;Matteo Bono (Ita) UAE Team Emirates;2:07:03
125;John Degenkolb (Ger) Trek-Segafredo;2:07:10
126;Lars Ytting Bak (Den) Lotto Soudal;2:08:32
127;Markel Irizar (Spa) Trek-Segafredo;2:09:10
128;Reinardt Janse Van Rensburg (RSA) Dimension Data;2:09:13
129;Daniele Bennati (Ita) Movistar Team;2:10:22
130;Marcus Burghardt (Ger) Bora-Hansgrohe;2:10:24
131;Julien Vermote (Bel) Quick-Step Floors;2:12:30
132;Sonny Colbrelli (Ita) Bahrain-Merida;2:12:49
133;Andrea Pasqualon (Ita) Wanty - Groupe Gobert;2:13:43
134;Mike Teunissen (Ned) Team Sunweb;2:14:13
135;Rick Zabel (Ger) Katusha-Alpecin;2:14:47
136;Dmitriy Gruzdev (Kaz) Astana Pro Team;2:15:10
137;Grega Bole (Slo) Bahrain-Merida;2:15:30
138;Yohann Gene (Fra) Direct Energie;2:17:24
139;Alexander Kristoff (Nor) Katusha-Alpecin;2:18:06
140;Jurgen Roelandts (Bel) Lotto Soudal;2:18:45
141;Stephen Cummings (GBr) Dimension Data;2:18:46
142;Jasha Sütterlin (Ger) Movistar Team;2:19:10
143;Christophe Laporte (Fra) Cofidis, Solutions Credits;2:19:43
144;Adrien Petit (Fra) Direct Energie;2:19:56
145;Cyril Lemoine (Fra) Cofidis, Solutions Credits;2:20:05
146;Michael Gogl (Aut) Trek-Segafredo;2:20:10
147;Andriy Grivko (Ukr) Astana Pro Team;2:20:35
148;Nacer Bouhanni (Fra) Cofidis, Solutions Credits;2:21:17
149;Thomas Boudat (Fra) Direct Energie;2:22:37
150;Reto Hollenstein (Swi) Katusha-Alpecin;2:24:08
151;Roy Curvers (Ned) Team Sunweb;2:24:14
152;Mathew Hayman (Aus) Orica-Scott;2:25:55
153;Christian Knees (Ger) Team Sky;2:29:24
154;Guillaume Van Keirsbulck (Bel) Wanty - Groupe Gobert;2:30:15
155;Marco Haller (Aut) Katusha-Alpecin;2:31:24
156;Marcel Kittel (Ger) Quick-Step Floors;2:32:46
157;Fabio Sabatini (Ita) Quick-Step Floors;2:33:26
158;Davide Cimolai (Ita) FDJ;2:33:45
159;Jaco Venter (RSA) Dimension Data;2:34:39
160;Dylan Groenewegen (Ned) Team LottoNl-Jumbo;2:35:20
161;Ramon Sinkeldam (Ned) Team Sunweb;2:35:33
162;André Greipel (Ger) Lotto Soudal;2:37:27
163;Borut Bozic (Slo) Bahrain-Merida;2:37:58
164;Marcel Sieberg (Ger) Lotto Soudal;2:38:52
165;Olivier Le Gac (Fra) FDJ;2:39:47
166;Florian Senechal (Fra) Cofidis, Solutions Credits;2:40:03
167;Taylor Phinney (USA) Cannondale-Drapac;2:40:04
168;Bernhard Eisel (Aut) Dimension Data;2:41:23
169;Tim Wellens (Bel) Lotto Soudal;2:41:27
170;Dimitri Claeys (Bel) Cofidis, Solutions Credits;2:41:55
171;Albert Timmer (Ned) Team Sunweb;2:42:02
172;Robert Wagner (Ger) Team LottoNl-Jumbo;2:44:49
173;Rüdiger Selig (Ger) Bora-Hansgrohe;2:46:31
174;Thomas Leezer (Ned) Team LottoNl-Jumbo;2:51:43
175;Daniel Mclay (GBr) Team Fortuneo - Oscaro;2:52:08
176;Luke Rowe (GBr) Team Sky;2:55:53
