position;rider;result
1;Christopher Froome (GBr) Team Sky;59:52:09
2;Fabio Aru (Ita) Astana Pro Team;0:00:18
3;Romain Bardet (Fra) AG2R La Mondiale;0:00:23
4;Rigoberto Uran (Col) Cannondale-Drapac;0:00:29
5;Mikel Landa (Spa) Team Sky;0:01:17
6;Daniel Martin (Irl) Quick-Step Floors;0:01:26
7;Simon Yates (GBr) Orica-Scott;0:02:02
8;Nairo Quintana (Col) Movistar Team;0:02:22
9;Louis Meintjes (RSA) UAE Team Emirates;0:05:09
10;Alberto Contador (Spa) Trek-Segafredo;0:05:37
11;George Bennett (NZl) Team LottoNl-Jumbo;0:06:39
12;Pierre Latour (Fra) AG2R La Mondiale;0:10:56
13;Mikel Nieve (Spa) Team Sky;0:10:58
14;Damiano Caruso (Ita) BMC Racing Team;0:11:26
15;Warren Barguil (Fra) Team Sunweb;0:14:50
16;Alexis Vuillermoz (Fra) AG2R La Mondiale;0:14:54
17;Emanuel Buchmann (Ger) Bora-Hansgrohe;0:16:52
18;Carlos Betancur (Col) Movistar Team;0:18:23
19;Guillaume Martin (Fra) Wanty - Groupe Gobert;0:22:13
20;Brice Feillu (Fra) Team Fortuneo - Oscaro;0:23:14
21;Sergio Henao (Col) Team Sky;0:26:41
22;Tiesj Benoot (Bel) Lotto Soudal;0:35:31
23;Serge Pauwels (Bel) Dimension Data;0:36:34
24;Roman Kreuziger (Cze) Orica-Scott;0:37:58
25;Bauke Mollema (Ned) Trek-Segafredo;0:41:25
26;Jan Bakelants (Bel) AG2R La Mondiale;0:44:40
27;Sylvain Chavanel (Fra) Direct Energie;0:45:28
28;Tony Gallopin (Fra) Lotto Soudal;0:49:56
29;Thomas Degand (Bel) Wanty - Groupe Gobert;0:52:21
30;Romain Hardy (Fra) Team Fortuneo - Oscaro;0:55:23
31;Jarlinson Pantano (Col) Trek-Segafredo;0:56:59
32;Lilian Calmejane (Fra) Direct Energie;1:00:35
33;Ben Gastauer (Lux) AG2R La Mondiale;1:01:50
34;Daniel Navarro (Spa) Cofidis, Solutions Credits;1:03:06
35;Haimar Zubeldia (Spa) Trek-Segafredo;1:03:22
36;Primoz Roglic (Slo) Team LottoNl-Jumbo;1:04:06
37;Jonathan Castroviejo (Spa) Movistar Team;1:04:29
38;Mathias Frank (Swi) AG2R La Mondiale;1:06:46
39;Nicolas Roche (Irl) BMC Racing Team;1:08:01
40;Nathan Brown (USA) Cannondale-Drapac;1:08:30
41;Janez Brajkovic (Slo) Bahrain-Merida;1:08:34
42;Maxime Bouet (Fra) Team Fortuneo - Oscaro;1:08:49
43;Robert Kiserlovski (Cro) Katusha-Alpecin;1:09:27
44;Cyril Gautier (Fra) AG2R La Mondiale;1:10:06
45;Esteban Chaves (Col) Orica-Scott;1:10:14
46;Rudy Molard (Fra) FDJ;1:11:05
47;Marco Minnaard (Ned) Wanty - Groupe Gobert;1:11:50
48;Greg Van Avermaet (Bel) BMC Racing Team;1:14:13
49;Gianluca Brambilla (Ita) Quick-Step Floors;1:14:45
50;Andrew Talansky (USA) Cannondale-Drapac;1:17:16
51;Luis Angel Mate (Spa) Cofidis, Solutions Credits;1:17:19
52;Michal Kwiatkowski (Pol) Team Sky;1:17:25
53;Pierre Rolland (Fra) Cannondale-Drapac;1:21:02
54;Oliver Naesen (Bel) AG2R La Mondiale;1:22:43
55;Diego Ulissi (Ita) UAE Team Emirates;1:24:14
56;Andrey Zeits (Kaz) Astana Pro Team;1:24:21
57;Pierre Luc Perichon (Fra) Team Fortuneo - Oscaro;1:24:50
58;Darwin Atapuma (Col) UAE Team Emirates;1:24:54
59;Axel Domont (Fra) AG2R La Mondiale;1:25:26
