position;rider;result
1;Christopher Froome (GBr) Team Sky;73:27:26
2;Rigoberto Uran (Col) Cannondale-Drapac;0:00:27
3;Romain Bardet (Fra) AG2R La Mondiale; 
4;Fabio Aru (Ita) Astana Pro Team;0:00:53
5;Mikel Landa (Spa) Team Sky;0:01:24
6;Daniel Martin (Irl) Quick-Step Floors;0:02:37
7;Simon Yates (GBr) Orica-Scott;0:04:07
8;Louis Meintjes (RSA) UAE Team Emirates;0:06:35
9;Alberto Contador (Spa) Trek-Segafredo;0:07:45
10;Warren Barguil (Fra) Team Sunweb;0:08:52
11;Damiano Caruso (Ita) BMC Racing Team;0:10:03
12;Nairo Quintana (Col) Movistar Team;0:12:54
13;Alexis Vuillermoz (Fra) AG2R La Mondiale;0:20:36
14;Mikel Nieve (Spa) Team Sky;0:21:16
15;Emanuel Buchmann (Ger) Bora-Hansgrohe;0:27:06
16;Brice Feillu (Fra) Team Fortuneo - Oscaro;0:33:32
17;Serge Pauwels (Bel) Dimension Data;0:34:47
18;Carlos Betancur (Col) Movistar Team;0:35:23
19;Tiesj Benoot (Bel) Lotto Soudal;0:37:46
20;Guillaume Martin (Fra) Wanty - Groupe Gobert;0:43:53
21;Bauke Mollema (Ned) Trek-Segafredo;0:44:22
22;Pierre Latour (Fra) AG2R La Mondiale;0:47:04
23;Tony Gallopin (Fra) Lotto Soudal;0:51:22
24;Roman Kreuziger (Cze) Orica-Scott;0:53:57
25;Jan Bakelants (Bel) AG2R La Mondiale;0:56:26
26;Sergio Henao (Col) Team Sky;1:05:19
27;Sylvain Chavanel (Fra) Direct Energie;1:05:47
28;Daniel Navarro (Spa) Cofidis, Solutions Credits;1:08:02
29;Mathias Frank (Swi) AG2R La Mondiale;1:11:53
30;Primoz Roglic (Slo) Team LottoNl-Jumbo;1:13:00
31;Romain Hardy (Fra) Team Fortuneo - Oscaro;1:17:54
32;Lilian Calmejane (Fra) Direct Energie;1:21:15
33;Thomas Degand (Bel) Wanty - Groupe Gobert;1:24:22
34;Ben Gastauer (Lux) AG2R La Mondiale;1:25:30
35;Amael Moinard (Fra) BMC Racing Team;1:26:05
36;Robert Kiserlovski (Cro) Katusha-Alpecin;1:26:29
37;Nicolas Roche (Irl) BMC Racing Team;1:26:37
38;Nathan Brown (USA) Cannondale-Drapac;1:32:10
39;Diego Ulissi (Ita) UAE Team Emirates;1:35:09
40;Rudy Molard (Fra) FDJ;1:39:47
41;Marco Minnaard (Ned) Wanty - Groupe Gobert;1:41:48
42;Jarlinson Pantano (Col) Trek-Segafredo;1:44:45
43;Darwin Atapuma (Col) UAE Team Emirates;1:45:46
44;Andrey Zeits (Kaz) Astana Pro Team;1:46:07
45;Pierre Luc Perichon (Fra) Team Fortuneo - Oscaro;1:46:34
46;Cyril Gautier (Fra) AG2R La Mondiale;1:47:14
47;Janez Brajkovic (Slo) Bahrain-Merida;1:49:12
48;Kristijan Durasek (Cro) UAE Team Emirates;1:51:06
49;Jonathan Castroviejo (Spa) Movistar Team;1:51:54
50;Haimar Zubeldia (Spa) Trek-Segafredo;1:52:59
51;Maxime Bouet (Fra) Team Fortuneo - Oscaro;1:53:31
52;Daryl Impey (RSA) Orica-Scott;1:55:24
53;Luis Angel Mate (Spa) Cofidis, Solutions Credits;1:57:59
54;Greg Van Avermaet (Bel) BMC Racing Team;1:58:20
55;Andrew Talansky (USA) Cannondale-Drapac;1:58:32
56;Pierre Rolland (Fra) Cannondale-Drapac;2:00:19
57;Esteban Chaves (Col) Orica-Scott;2:01:30
58;Thomas De Gendt (Bel) Lotto Soudal;2:02:47
59;Michal Kwiatkowski (Pol) Team Sky;2:04:32
60;Michael Matthews (Aus) Team Sunweb;2:05:59
61;Ondrej Cink (Cze) Bahrain-Merida;2:06:24
62;Oliver Naesen (Bel) AG2R La Mondiale;2:07:05
63;Gianluca Brambilla (Ita) Quick-Step Floors;2:09:17
64;Michael Valgren Andersen (Den) Astana Pro Team;2:11:51
65;Simon Geschke (Ger) Team Sunweb;2:12:17
66;Laurens Ten Dam (Ned) Team Sunweb;2:14:52
67;Jens Keukeleire (Bel) Orica-Scott;2:14:56
68;Axel Domont (Fra) AG2R La Mondiale;2:15:52
69;Koen De Kort (Ned) Trek-Segafredo;2:18:32
70;Eduardo Sepulveda (Arg) Team Fortuneo - Oscaro;2:21:40
71;Dylan Van Baarle (Ned) Cannondale-Drapac;2:22:25
72;Stefan Küng (Swi) BMC Racing Team;2:22:43
73;Pawel Poljanski (Pol) Bora-Hansgrohe;2:22:51
74;Tiago Machado (Por) Katusha-Alpecin;2:23:55
75;Michael Schär (Swi) BMC Racing Team;2:25:35
76;Romain Sicard (Fra) Direct Energie;2:28:04
77;Nicolas Edet (Fra) Cofidis, Solutions Credits;2:28:12
78;Tsgabu Grmay (Eth) Bahrain-Merida;2:28:15
79;Alberto Bettiol (Ita) Cannondale-Drapac;2:28:18
80;Paul Martens (Ger) Team LottoNl-Jumbo;2:28:46
81;Andrey Amador (CRc) Movistar Team;2:28:54
82;Edvald Boasson Hagen (Nor) Dimension Data;2:29:39
83;Maurits Lammertink (Ned) Katusha-Alpecin;2:32:21
84;Alexey Lutsenko (Kaz) Astana Pro Team;2:33:35
85;Danilo Wyss (Swi) BMC Racing Team;2:33:41
86;Imanol Erviti (Spa) Movistar Team;2:35:31
87;Jay McCarthy (Aus) Bora-Hansgrohe;2:35:38
88;Angelo Tulik (Fra) Direct Energie;2:36:16
89;Simon Clarke (Aus) Cannondale-Drapac;2:36:21
90;Alessandro De Marchi (Ita) BMC Racing Team;2:36:56
91;Ben Swift (GBr) UAE Team Emirates;2:38:15
92;Jesus Herrada (Spa) Movistar Team;2:38:16
93;Marco Marcato (Ita) UAE Team Emirates;2:38:22
94;Nikias Arndt (Ger) Team Sunweb;2:38:47
95;Nils Politt (Ger) Katusha-Alpecin;2:38:52
96;Damien Howson (Aus) Orica-Scott;2:39:17
97;Thomas Voeckler (Fra) Direct Energie;2:41:25
98;Pieter Vanspeybrouck (Bel) Wanty - Groupe Gobert;2:43:41
99;Scott Thwaites (GBr) Dimension Data;2:44:19
100;Elie Gesbert (Fra) Team Fortuneo - Oscaro;2:47:07
101;Perrig Quemeneur (Fra) Direct Energie;2:47:35
102;Michael Albasini (Swi) Orica-Scott;2:48:30
103;Yoann Offredo (Fra) Wanty - Groupe Gobert;2:49:22
104;Adam James Hansen (Aus) Lotto Soudal;2:50:26
105;Jack Bauer (NZl) Quick-Step Floors;2:51:08
106;Patrick Bevin (NZl) Cannondale-Drapac;2:51:33
