position;rider;result
107;Tony Martin (Ger) Katusha-Alpecin;2:51:46
108;Yukiya Arashiro (Jpn) Bahrain-Merida;2:51:47
109;Florian Vachon (Fra) Team Fortuneo - Oscaro; 
110;Matteo Bono (Ita) UAE Team Emirates;2:52:43
111;Zdenek Stybar (Cze) Quick-Step Floors;2:54:46
112;Daniele Bennati (Ita) Movistar Team;2:54:57
113;Vasil Kiryienka (Blr) Team Sky;2:56:44
114;Maciej Bodnar (Pol) Bora-Hansgrohe;2:56:51
115;Bakhtiyar Kozhatayev (Kaz) Astana Pro Team;2:57:23
116;Reinardt Janse Van Rensburg (RSA) Dimension Data;2:58:56
117;John Degenkolb (Ger) Trek-Segafredo;2:59:45
118;Jasha Sütterlin (Ger) Movistar Team;2:59:55
119;Javier Moreno (Spa) Bahrain-Merida;3:02:08
120;Dmitriy Gruzdev (Kaz) Astana Pro Team;3:02:52
121;Julien Simon (Fra) Cofidis, Solutions Credits;3:06:17
122;Andriy Grivko (Ukr) Astana Pro Team;3:06:40
123;Sonny Colbrelli (Ita) Bahrain-Merida;3:08:00
124;Adrien Petit (Fra) Direct Energie;3:08:15
125;Cyril Lemoine (Fra) Cofidis, Solutions Credits;3:09:31
126;Timo Roosen (Ned) Team LottoNl-Jumbo;3:09:41
127;Vegard Stake Laengen (Nor) UAE Team Emirates;3:10:18
128;Marcus Burghardt (Ger) Bora-Hansgrohe;3:10:50
129;Alexander Kristoff (Nor) Katusha-Alpecin;3:11:38
130;Christophe Laporte (Fra) Cofidis, Solutions Credits;3:12:22
131;Dion Smith (NZl) Wanty - Groupe Gobert;3:12:33
132;Mike Teunissen (Ned) Team Sunweb;3:13:11
133;Yohann Gene (Fra) Direct Energie;3:14:27
134;Markel Irizar (Spa) Trek-Segafredo;3:15:12
135;Nacer Bouhanni (Fra) Cofidis, Solutions Credits;3:15:39
136;Frederik Backaert (Bel) Wanty - Groupe Gobert;3:15:59
137;Lars Ytting Bak (Den) Lotto Soudal;3:17:30
138;Laurent Pichon (Fra) Team Fortuneo - Oscaro;3:19:22
139;Andrea Pasqualon (Ita) Wanty - Groupe Gobert;3:19:45
140;Roy Curvers (Ned) Team Sunweb;3:20:16
141;Thomas Boudat (Fra) Direct Energie;3:20:23
142;Stephen Cummings (GBr) Dimension Data;3:21:24
143;Julien Vermote (Bel) Quick-Step Floors;3:21:28
144;Rick Zabel (Ger) Katusha-Alpecin;3:23:45
145;Christian Knees (Ger) Team Sky;3:24:17
146;Grega Bole (Slo) Bahrain-Merida;3:24:28
147;Michael Gogl (Aut) Trek-Segafredo;3:26:12
148;Jurgen Roelandts (Bel) Lotto Soudal;3:27:43
149;Ramon Sinkeldam (Ned) Team Sunweb;3:31:03
150;Davide Cimolai (Ita) FDJ;3:31:29
151;André Greipel (Ger) Lotto Soudal;3:31:31
152;Mathew Hayman (Aus) Orica-Scott;3:31:57
153;Reto Hollenstein (Swi) Katusha-Alpecin;3:33:06
154;Guillaume Van Keirsbulck (Bel) Wanty - Groupe Gobert;3:33:20
155;Bernhard Eisel (Aut) Dimension Data;3:35:35
156;Fabio Sabatini (Ita) Quick-Step Floors;3:39:28
157;Marco Haller (Aut) Katusha-Alpecin;3:40:22
158;Jaco Venter (RSA) Dimension Data;3:43:37
159;Dylan Groenewegen (Ned) Team LottoNl-Jumbo;3:44:18
160;Albert Timmer (Ned) Team Sunweb;3:44:40
161;Olivier Le Gac (Fra) FDJ;3:45:49
162;Florian Senechal (Fra) Cofidis, Solutions Credits;3:46:05
163;Borut Bozic (Slo) Bahrain-Merida;3:46:56
164;Taylor Phinney (USA) Cannondale-Drapac;3:49:02
165;Dimitri Claeys (Bel) Cofidis, Solutions Credits;3:50:53
166;Robert Wagner (Ger) Team LottoNl-Jumbo;3:53:47
167;Rüdiger Selig (Ger) Bora-Hansgrohe;3:55:29
168;Thomas Leezer (Ned) Team LottoNl-Jumbo;3:57:45
169;Luke Rowe (GBr) Team Sky;4:04:51
