position;rider;result
1;Geraint Thomas (GBr) Team Sky;14:54:25
2;Christopher Froome (GBr) Team Sky;0:00:12
3;Michael Matthews (Aus) Team Sunweb; 
4;Edvald Boasson Hagen (Nor) Dimension Data;0:00:16
5;Pierre Latour (Fra) AG2R La Mondiale;0:00:25
6;Philippe Gilbert (Bel) Quick-Step Floors;0:00:30
7;Michal Kwiatkowski (Pol) Team Sky;0:00:32
8;Tim Wellens (Bel) Lotto Soudal; 
9;Arnaud Demare (Fra) FDJ;0:00:33
10;Nikias Arndt (Ger) Team Sunweb;0:00:34
11;Alexey Lutsenko (Kaz) Astana Pro Team;0:00:37
12;Stefan Küng (Swi) BMC Racing Team;0:00:38
13;Emanuel Buchmann (Ger) Bora-Hansgrohe;0:00:40
14;Greg Van Avermaet (Bel) BMC Racing Team; 
15;Peter Sagan (Svk) Bora-Hansgrohe;0:00:43
16;Daniel Martin (Irl) Quick-Step Floors; 
17;Diego Ulissi (Ita) UAE Team Emirates; 
18;Simon Yates (GBr) Orica-Scott;0:00:45
19;Daryl Impey (RSA) Orica-Scott; 
20;Richie Porte (Aus) BMC Racing Team;0:00:47
21;Nairo Quintana (Col) Movistar Team;0:00:48
22;Jesus Herrada (Spa) Movistar Team; 
23;Rafal Majka (Pol) Bora-Hansgrohe;0:00:49
24;Romain Bardet (Fra) AG2R La Mondiale;0:00:51
25;Alberto Bettiol (Ita) Cannondale-Drapac;0:00:52
26;Fabio Aru (Ita) Astana Pro Team; 
27;Alberto Contador (Spa) Trek-Segafredo;0:00:54
28;Carlos Betancur (Col) Movistar Team; 
29;Jakob Fuglsang (Den) Astana Pro Team; 
30;Roman Kreuziger (Cze) Orica-Scott;0:00:56
31;Rigoberto Uran (Col) Cannondale-Drapac;0:01:03
32;Simon Geschke (Ger) Team Sunweb;0:01:04
33;Sylvain Chavanel (Fra) Direct Energie;0:01:05
34;Zdenek Stybar (Cze) Quick-Step Floors; 
35;Rudy Molard (Fra) FDJ;0:01:07
36;Mikel Landa (Spa) Team Sky;0:01:08
37;Michael Albasini (Swi) Orica-Scott; 
38;Sonny Colbrelli (Ita) Bahrain-Merida;0:01:09
39;Alexis Vuillermoz (Fra) AG2R La Mondiale;0:01:10
40;Simon Clarke (Aus) Cannondale-Drapac; 
41;Warren Barguil (Fra) Team Sunweb;0:01:12
42;Louis Meintjes (RSA) UAE Team Emirates; 
43;Andrew Talansky (USA) Cannondale-Drapac; 
44;Esteban Chaves (Col) Orica-Scott;0:01:13
45;Tiesj Benoot (Bel) Lotto Soudal;0:01:15
46;Mathias Frank (Swi) AG2R La Mondiale;0:01:17
47;Serge Pauwels (Bel) Dimension Data;0:01:18
48;Jan Bakelants (Bel) AG2R La Mondiale;0:01:23
49;Sergio Henao (Col) Team Sky;0:01:24
50;Maxime Bouet (Fra) Team Fortuneo - Oscaro;0:01:27
51;Tiago Machado (Por) Katusha-Alpecin;0:01:30
52;Reinardt Janse Van Rensburg (RSA) Dimension Data;0:01:35
53;Nicolas Roche (Irl) BMC Racing Team;0:01:37
54;Guillaume Martin (Fra) Wanty - Groupe Gobert;0:01:42
55;Vasil Kiryienka (Blr) Team Sky; 
56;Brice Feillu (Fra) Team Fortuneo - Oscaro;0:01:43
57;Damiano Caruso (Ita) BMC Racing Team;0:01:50
58;Jarlinson Pantano (Col) Trek-Segafredo;0:01:51
59;John Degenkolb (Ger) Trek-Segafredo;0:01:52
60;Mikel Nieve (Spa) Team Sky;0:01:53
61;George Bennett (NZl) Team LottoNl-Jumbo;0:01:55
62;Michael Valgren Andersen (Den) Astana Pro Team;0:01:58
63;Angelo Tulik (Fra) Direct Energie;0:02:00
64;Jos Van Emden (Ned) Team LottoNl-Jumbo;0:02:02
65;Thomas Degand (Bel) Wanty - Groupe Gobert; 
66;Nicolas Edet (Fra) Cofidis, Solutions Credits;0:02:03
67;Andriy Grivko (Ukr) Astana Pro Team;0:02:04
68;Grega Bole (Slo) Bahrain-Merida;0:02:09
69;Alexander Kristoff (Nor) Katusha-Alpecin;0:02:10
70;Eduardo Sepulveda (Arg) Team Fortuneo - Oscaro;0:02:12
71;Matteo Trentin (Ita) Quick-Step Floors;0:02:13
72;Paul Martens (Ger) Team LottoNl-Jumbo;0:02:15
73;Daniel Navarro (Spa) Cofidis, Solutions Credits;0:02:23
74;Fabio Felline (Ita) Trek-Segafredo;0:02:24
75;Lilian Calmejane (Fra) Direct Energie;0:02:28
76;Mike Teunissen (Ned) Team Sunweb; 
77;Pieter Vanspeybrouck (Bel) Wanty - Groupe Gobert;0:02:32
78;Julien Simon (Fra) Cofidis, Solutions Credits; 
79;Elie Gesbert (Fra) Team Fortuneo - Oscaro;0:02:33
80;Primoz Roglic (Slo) Team LottoNl-Jumbo;0:02:39
81;Koen De Kort (Ned) Trek-Segafredo;0:02:41
82;Jay McCarthy (Aus) Bora-Hansgrohe;0:02:45
83;Lars Ytting Bak (Den) Lotto Soudal;0:02:46
84;Jurgen Roelandts (Bel) Lotto Soudal;0:02:47
85;Danilo Wyss (Swi) BMC Racing Team; 
86;Manuele Mori (Ita) UAE Team Emirates; 
87;Oliver Naesen (Bel) AG2R La Mondiale;0:02:51
88;Jens Keukeleire (Bel) Orica-Scott; 
89;Jack Bauer (NZl) Quick-Step Floors;0:02:52
90;Haimar Zubeldia (Spa) Trek-Segafredo;0:02:53
91;Ben Swift (GBr) UAE Team Emirates;0:02:55
92;Marcel Kittel (Ger) Quick-Step Floors;0:02:56
93;Marco Marcato (Ita) UAE Team Emirates; 
94;Ondrej Cink (Cze) Bahrain-Merida;0:03:00
95;Ben Gastauer (Lux) AG2R La Mondiale; 
96;Janez Brajkovic (Slo) Bahrain-Merida;0:03:07
97;Robert Kiserlovski (Cro) Katusha-Alpecin;0:03:09
98;Andrea Pasqualon (Ita) Wanty - Groupe Gobert;0:03:10
99;Jonathan Castroviejo (Spa) Movistar Team; 
100;Arthur Vichot (Fra) FDJ;0:03:16
101;Yukiya Arashiro (Jpn) Bahrain-Merida;0:03:21
102;Dion Smith (NZl) Wanty - Groupe Gobert;0:03:22
103;Maciej Bodnar (Pol) Bora-Hansgrohe;0:03:23
104;Timo Roosen (Ned) Team LottoNl-Jumbo;0:03:24
105;Cyril Gautier (Fra) AG2R La Mondiale;0:03:30
106;Marco Minnaard (Ned) Wanty - Groupe Gobert; 
107;Adrien Petit (Fra) Direct Energie;0:03:32
108;Patrick Bevin (NZl) Cannondale-Drapac;0:03:35
109;Imanol Erviti (Spa) Movistar Team;0:03:38
110;André Greipel (Ger) Lotto Soudal;0:03:39
111;Robert Gesink (Ned) Team LottoNl-Jumbo;0:03:45
112;Dario Cataldo (Ita) Astana Pro Team; 
113;Daniele Bennati (Ita) Movistar Team;0:03:46
114;Pierre Luc Perichon (Fra) Team Fortuneo - Oscaro;0:03:49
115;Bauke Mollema (Ned) Trek-Segafredo;0:03:52
116;Laurens Ten Dam (Ned) Team Sunweb;0:03:53
117;Thibaut Pinot (Fra) FDJ;0:03:55
118;Rick Zabel (Ger) Katusha-Alpecin;0:03:59
119;Vegard Stake Laengen (Nor) UAE Team Emirates;0:04:01
120;Daniel Mclay (GBr) Team Fortuneo - Oscaro;0:04:02
121;Markel Irizar (Spa) Trek-Segafredo; 
122;Ramon Sinkeldam (Ned) Team Sunweb;0:04:03
123;Fabio Sabatini (Ita) Quick-Step Floors;0:04:04
124;Florian Vachon (Fra) Team Fortuneo - Oscaro; 
125;Nils Politt (Ger) Katusha-Alpecin;0:04:05
126;Taylor Phinney (USA) Cannondale-Drapac;0:04:08
127;Robert Wagner (Ger) Team LottoNl-Jumbo;0:04:09
128;Mathew Hayman (Aus) Orica-Scott;0:04:11
129;Yohann Gene (Fra) Direct Energie;0:04:17
130;Christian Knees (Ger) Team Sky;0:04:18
131;Yoann Offredo (Fra) Wanty - Groupe Gobert;0:04:19
132;Marcel Sieberg (Ger) Lotto Soudal;0:04:25
133;Bernhard Eisel (Aut) Dimension Data;0:04:32
134;Perrig Quemeneur (Fra) Direct Energie;0:04:37
135;Andrey Zeits (Kaz) Astana Pro Team;0:04:43
136;Kristijan Durasek (Cro) UAE Team Emirates;0:04:47
137;Alessandro De Marchi (Ita) BMC Racing Team;0:04:56
138;Dylan Groenewegen (Ned) Team LottoNl-Jumbo;0:05:00
139;Christophe Laporte (Fra) Cofidis, Solutions Credits;0:05:01
140;Roy Curvers (Ned) Team Sunweb;0:05:02
141;Ignatas Konovalovas (Ltu) FDJ;0:05:07
142;Marcus Burghardt (Ger) Bora-Hansgrohe; 
143;Amael Moinard (Fra) BMC Racing Team;0:05:09
144;Luis Angel Mate (Spa) Cofidis, Solutions Credits;0:05:13
145;Nacer Bouhanni (Fra) Cofidis, Solutions Credits;0:05:23
146;Darwin Atapuma (Col) UAE Team Emirates;0:05:26
147;Damien Howson (Aus) Orica-Scott;0:05:42
148;Mark Cavendish (GBr) Dimension Data; 
149;Jacopo Guarnieri (Ita) FDJ;0:06:12
150;Tsgabu Grmay (Eth) Bahrain-Merida;0:06:27
151;Romain Hardy (Fra) Team Fortuneo - Oscaro;0:06:44
152;Davide Cimolai (Ita) FDJ;0:06:57
153;Dmitriy Gruzdev (Kaz) Astana Pro Team;0:07:09
154;Mark Renshaw (Aus) Dimension Data;0:07:16
155;Pawel Poljanski (Pol) Bora-Hansgrohe; 
156;Gianluca Brambilla (Ita) Quick-Step Floors;0:07:27
157;Michael Gogl (Aut) Trek-Segafredo;0:07:31
158;Florian Senechal (Fra) Cofidis, Solutions Credits;0:07:33
159;Thomas Boudat (Fra) Direct Energie;0:07:34
160;Guillaume Van Keirsbulck (Bel) Wanty - Groupe Gobert;0:07:38
161;Scott Thwaites (GBr) Dimension Data;0:07:40
162;Thomas Voeckler (Fra) Direct Energie;0:08:04
163;Stephen Cummings (GBr) Dimension Data;0:08:35
164;Pierre Rolland (Fra) Cannondale-Drapac;0:08:37
165;Michael Schär (Swi) BMC Racing Team;0:09:31
166;Laurent Pichon (Fra) Team Fortuneo - Oscaro;0:09:41
167;Dylan Van Baarle (Ned) Cannondale-Drapac;0:09:45
168;Thomas De Gendt (Bel) Lotto Soudal;0:10:08
169;Jaco Venter (RSA) Dimension Data;0:10:12
170;Borut Bozic (Slo) Bahrain-Merida;0:11:57
171;Tony Gallopin (Fra) Lotto Soudal;0:12:15
172;Romain Sicard (Fra) Direct Energie;0:12:42
173;Nathan Brown (USA) Cannondale-Drapac;0:12:58
174;Andrey Amador (CRc) Movistar Team;0:13:03
175;Jasha Sütterlin (Ger) Movistar Team;0:13:08
176;Frederik Backaert (Bel) Wanty - Groupe Gobert;0:13:09
177;Bakhtiyar Kozhatayev (Kaz) Astana Pro Team;0:13:50
178;Rüdiger Selig (Ger) Bora-Hansgrohe;0:14:08
179;Dimitri Claeys (Bel) Cofidis, Solutions Credits;0:14:09
180;Julien Vermote (Bel) Quick-Step Floors;0:14:25
181;Maurits Lammertink (Ned) Katusha-Alpecin;0:14:29
182;Adam James Hansen (Aus) Lotto Soudal;0:14:43
183;Javier Moreno (Spa) Bahrain-Merida;0:14:49
184;Cyril Lemoine (Fra) Cofidis, Solutions Credits;0:14:51
185;Tony Martin (Ger) Katusha-Alpecin;0:15:40
186;Albert Timmer (Ned) Team Sunweb;0:15:50
187;Marco Haller (Aut) Katusha-Alpecin;0:16:55
188;Matteo Bono (Ita) UAE Team Emirates;0:17:16
189;Juraj Sagan (Svk) Bora-Hansgrohe;0:18:01
190;Axel Domont (Fra) AG2R La Mondiale;0:18:44
191;Mickael Delage (Fra) FDJ;0:19:00
192;Reto Hollenstein (Swi) Katusha-Alpecin;0:21:41
193;Luke Rowe (GBr) Team Sky;0:23:33
194;Thomas Leezer (Ned) Team LottoNl-Jumbo;0:26:12
195;Olivier Le Gac (Fra) FDJ;0:32:36
