position;rider;result
1;Christopher Froome (GBr) Team Sky;78:08:19
2;Romain Bardet (Fra) AG2R La Mondiale;0:00:23
3;Rigoberto Uran (Col) Cannondale-Drapac;0:00:29
4;Mikel Landa (Spa) Team Sky;0:01:36
5;Fabio Aru (Ita) Astana Pro Team;0:01:55
6;Daniel Martin (Irl) Quick-Step Floors;0:02:56
7;Simon Yates (GBr) Orica-Scott;0:04:46
8;Louis Meintjes (RSA) UAE Team Emirates;0:06:52
9;Warren Barguil (Fra) Team Sunweb;0:08:22
10;Alberto Contador (Spa) Trek-Segafredo;0:08:34
11;Damiano Caruso (Ita) BMC Racing Team;0:13:41
12;Nairo Quintana (Col) Movistar Team;0:13:52
13;Mikel Nieve (Spa) Team Sky;0:23:11
14;Alexis Vuillermoz (Fra) AG2R La Mondiale;0:23:33
15;Emanuel Buchmann (Ger) Bora-Hansgrohe;0:31:01
16;Brice Feillu (Fra) Team Fortuneo - Oscaro;0:35:06
17;Carlos Betancur (Col) Movistar Team;0:36:25
18;Serge Pauwels (Bel) Dimension Data;0:37:31
19;Tiesj Benoot (Bel) Lotto Soudal;0:40:49
20;Bauke Mollema (Ned) Trek-Segafredo;0:47:03
21;Guillaume Martin (Fra) Wanty - Groupe Gobert;0:50:53
22;Tony Gallopin (Fra) Lotto Soudal;0:52:39
23;Roman Kreuziger (Cze) Orica-Scott;0:57:45
24;Jan Bakelants (Bel) AG2R La Mondiale;1:00:19
25;Pierre Latour (Fra) AG2R La Mondiale;1:10:34
26;Daniel Navarro (Spa) Cofidis, Solutions Credits;1:11:36
27;Sergio Henao (Col) Team Sky;1:13:11
28;Sylvain Chavanel (Fra) Direct Energie;1:16:01
29;Mathias Frank (Swi) AG2R La Mondiale;1:18:14
30;Romain Hardy (Fra) Team Fortuneo - Oscaro;1:21:28
31;Amael Moinard (Fra) BMC Racing Team;1:30:00
32;Nicolas Roche (Irl) BMC Racing Team;1:31:16
33;Thomas Degand (Bel) Wanty - Groupe Gobert;1:31:43
34;Robert Kiserlovski (Cro) Katusha-Alpecin;1:32:50
35;Ben Gastauer (Lux) AG2R La Mondiale;1:36:47
36;Primoz Roglic (Slo) Team LottoNl-Jumbo;1:39:06
37;Diego Ulissi (Ita) UAE Team Emirates;1:43:37
38;Rudy Molard (Fra) FDJ;1:44:07
