position;rider;result
39;Lilian Calmejane (Fra) Direct Energie;1:44:45
40;Marco Minnaard (Ned) Wanty - Groupe Gobert;1:45:02
41;Darwin Atapuma (Col) UAE Team Emirates;1:45:40
42;Nathan Brown (USA) Cannondale-Drapac;1:54:33
43;Jarlinson Pantano (Col) Trek-Segafredo;1:56:26
44;Andrey Zeits (Kaz) Astana Pro Team;1:57:17
45;Janez Brajkovic (Slo) Bahrain-Merida;1:57:22
46;Cyril Gautier (Fra) AG2R La Mondiale;2:00:34
47;Andrew Talansky (USA) Cannondale-Drapac;2:01:13
48;Kristijan Durasek (Cro) UAE Team Emirates;2:01:32
49;Daryl Impey (RSA) Orica-Scott;2:01:45
50;Haimar Zubeldia (Spa) Trek-Segafredo;2:04:40
51;Pierre Luc Perichon (Fra) Team Fortuneo - Oscaro;2:05:56
52;Pierre Rolland (Fra) Cannondale-Drapac;2:06:40
53;Maxime Bouet (Fra) Team Fortuneo - Oscaro;2:11:37
54;Luis Angel Mate (Spa) Cofidis, Solutions Credits;2:12:19
55;Thomas De Gendt (Bel) Lotto Soudal;2:15:15
56;Gianluca Brambilla (Ita) Quick-Step Floors;2:15:18
57;Greg Van Avermaet (Bel) BMC Racing Team;2:16:44
58;Michal Kwiatkowski (Pol) Team Sky;2:17:53
59;Jonathan Castroviejo (Spa) Movistar Team;2:20:07
60;Simon Geschke (Ger) Team Sunweb;2:21:24
61;Esteban Chaves (Col) Orica-Scott;2:23:29
62;Michael Valgren Andersen (Den) Astana Pro Team;2:23:32
63;Oliver Naesen (Bel) AG2R La Mondiale;2:24:27
64;Laurens Ten Dam (Ned) Team Sunweb;2:26:39
65;Eduardo Sepulveda (Arg) Team Fortuneo - Oscaro;2:28:01
66;Ondrej Cink (Cze) Bahrain-Merida;2:31:50
67;Jens Keukeleire (Bel) Orica-Scott;2:32:18
68;Axel Domont (Fra) AG2R La Mondiale;2:33:14
69;Michael Matthews (Aus) Team Sunweb;2:34:12
70;Koen De Kort (Ned) Trek-Segafredo;2:35:54
71;Alexey Lutsenko (Kaz) Astana Pro Team;2:36:09
72;Tsgabu Grmay (Eth) Bahrain-Merida;2:36:25
73;Romain Sicard (Fra) Direct Energie;2:38:41
74;Michael Schär (Swi) BMC Racing Team;2:38:56
75;Maurits Lammertink (Ned) Katusha-Alpecin;2:40:44
76;Tiago Machado (Por) Katusha-Alpecin;2:41:17
77;Nicolas Edet (Fra) Cofidis, Solutions Credits;2:42:32
78;Dylan Van Baarle (Ned) Cannondale-Drapac;2:45:55
79;Paul Martens (Ger) Team LottoNl-Jumbo;2:46:52
80;Stefan Küng (Swi) BMC Racing Team;2:48:49
81;Pawel Poljanski (Pol) Bora-Hansgrohe;2:51:04
82;Thomas Voeckler (Fra) Direct Energie;2:51:39
83;Danilo Wyss (Swi) BMC Racing Team;2:52:05
84;Simon Clarke (Aus) Cannondale-Drapac;2:52:11
85;Andrey Amador (CRc) Movistar Team;2:52:24
86;Angelo Tulik (Fra) Direct Energie;2:53:46
87;Damien Howson (Aus) Orica-Scott;2:55:07
88;Alberto Bettiol (Ita) Cannondale-Drapac;2:55:26
89;Edvald Boasson Hagen (Nor) Dimension Data;2:57:52
90;Imanol Erviti (Spa) Movistar Team;2:59:01
91;Bakhtiyar Kozhatayev (Kaz) Astana Pro Team;3:00:52
92;Ben Swift (GBr) UAE Team Emirates;3:01:45
93;Jesus Herrada (Spa) Movistar Team;3:01:46
94;Alessandro De Marchi (Ita) BMC Racing Team;3:02:41
95;Nils Politt (Ger) Katusha-Alpecin;3:02:51
96;Marco Marcato (Ita) UAE Team Emirates;3:03:48
97;Jay McCarthy (Aus) Bora-Hansgrohe;3:03:51
98;Elie Gesbert (Fra) Team Fortuneo - Oscaro;3:05:13
99;Nikias Arndt (Ger) Team Sunweb;3:07:00
100;Pieter Vanspeybrouck (Bel) Wanty - Groupe Gobert;3:07:11
101;Tony Martin (Ger) Katusha-Alpecin;3:08:05
102;Zdenek Stybar (Cze) Quick-Step Floors;3:08:07
103;Perrig Quemeneur (Fra) Direct Energie;3:11:05
104;Florian Vachon (Fra) Team Fortuneo - Oscaro;3:11:09
105;Scott Thwaites (GBr) Dimension Data;3:12:32
106;Jack Bauer (NZl) Quick-Step Floors;3:14:38
107;Matteo Bono (Ita) UAE Team Emirates;3:14:42
108;Yukiya Arashiro (Jpn) Bahrain-Merida;3:15:17
109;Michael Albasini (Swi) Orica-Scott;3:16:43
110;Jasha Sütterlin (Ger) Movistar Team;3:17:17
111;Yoann Offredo (Fra) Wanty - Groupe Gobert;3:17:35
112;Adam James Hansen (Aus) Lotto Soudal;3:18:39
113;Patrick Bevin (NZl) Cannondale-Drapac;3:19:46
114;Vasil Kiryienka (Blr) Team Sky;3:20:14
115;Timo Roosen (Ned) Team LottoNl-Jumbo;3:22:21
116;Dmitriy Gruzdev (Kaz) Astana Pro Team;3:22:35
117;Daniele Bennati (Ita) Movistar Team;3:23:10
118;Maciej Bodnar (Pol) Bora-Hansgrohe;3:25:04
119;Reinardt Janse Van Rensburg (RSA) Dimension Data;3:27:09
120;Javier Moreno (Spa) Bahrain-Merida;3:27:34
121;John Degenkolb (Ger) Trek-Segafredo;3:29:21
122;Andriy Grivko (Ukr) Astana Pro Team;3:30:10
123;Sonny Colbrelli (Ita) Bahrain-Merida;3:33:28
124;Lars Ytting Bak (Den) Lotto Soudal;3:34:52
125;Dion Smith (NZl) Wanty - Groupe Gobert;3:36:03
126;Laurent Pichon (Fra) Team Fortuneo - Oscaro;3:36:44
127;Julien Simon (Fra) Cofidis, Solutions Credits;3:37:50
128;Adrien Petit (Fra) Direct Energie;3:37:51
129;Vegard Stake Laengen (Nor) UAE Team Emirates;3:38:31
130;Cyril Lemoine (Fra) Cofidis, Solutions Credits;3:41:04
131;Marcus Burghardt (Ger) Bora-Hansgrohe;3:41:13
132;Alexander Kristoff (Nor) Katusha-Alpecin;3:41:14
133;Mike Teunissen (Ned) Team Sunweb;3:41:24
134;Yohann Gene (Fra) Direct Energie;3:43:09
135;Christophe Laporte (Fra) Cofidis, Solutions Credits;3:43:59
136;Frederik Backaert (Bel) Wanty - Groupe Gobert;3:44:12
137;Jurgen Roelandts (Bel) Lotto Soudal;3:44:15
138;Markel Irizar (Spa) Trek-Segafredo;3:44:48
139;Stephen Cummings (GBr) Dimension Data;3:44:54
140;Nacer Bouhanni (Fra) Cofidis, Solutions Credits;3:47:12
141;Andrea Pasqualon (Ita) Wanty - Groupe Gobert;3:47:58
142;Roy Curvers (Ned) Team Sunweb;3:48:29
143;Thomas Boudat (Fra) Direct Energie;3:49:21
144;Julien Vermote (Bel) Quick-Step Floors;3:49:41
145;Rick Zabel (Ger) Katusha-Alpecin;3:51:58
146;Christian Knees (Ger) Team Sky;3:52:30
147;Grega Bole (Slo) Bahrain-Merida;3:52:41
148;Michael Gogl (Aut) Trek-Segafredo;3:55:48
149;Guillaume Van Keirsbulck (Bel) Wanty - Groupe Gobert;3:56:50
150;Ramon Sinkeldam (Ned) Team Sunweb;3:59:16
151;André Greipel (Ger) Lotto Soudal;3:59:44
152;Mathew Hayman (Aus) Orica-Scott;4:00:10
153;Reto Hollenstein (Swi) Katusha-Alpecin;4:01:19
154;Davide Cimolai (Ita) FDJ;4:02:49
155;Bernhard Eisel (Aut) Dimension Data;4:05:11
156;Fabio Sabatini (Ita) Quick-Step Floors;4:07:41
157;Marco Haller (Aut) Katusha-Alpecin;4:09:58
158;Jaco Venter (RSA) Dimension Data;4:11:50
159;Dylan Groenewegen (Ned) Team LottoNl-Jumbo;4:12:31
160;Albert Timmer (Ned) Team Sunweb;4:12:53
161;Olivier Le Gac (Fra) FDJ;4:14:02
162;Florian Senechal (Fra) Cofidis, Solutions Credits;4:14:18
163;Dimitri Claeys (Bel) Cofidis, Solutions Credits;4:14:52
164;Borut Bozic (Slo) Bahrain-Merida;4:15:09
165;Taylor Phinney (USA) Cannondale-Drapac;4:17:15
166;Robert Wagner (Ger) Team LottoNl-Jumbo;4:22:00
167;Rüdiger Selig (Ger) Bora-Hansgrohe;4:23:42
168;Thomas Leezer (Ned) Team LottoNl-Jumbo;4:25:58
169;Luke Rowe (GBr) Team Sky;4:33:04
