position;rider;result
1;Geraint Thomas (GBr) Team Sky;0:16:04
2;Stefan Küng (Swi) BMC Racing Team;0:00:05
3;Vasil Kiryienka (Blr) Team Sky;0:00:07
4;Tony Martin (Ger) Katusha-Alpecin;0:00:08
5;Matteo Trentin (Ita) Quick-Step Floors;0:00:10
6;Christopher Froome (GBr) Team Sky;0:00:12
7;Jos Van Emden (Ned) Team LottoNl-Jumbo;0:00:15
8;Michal Kwiatkowski (Pol) Team Sky; 
9;Marcel Kittel (Ger) Quick-Step Floors;0:00:16
10;Edvald Boasson Hagen (Nor) Dimension Data; 
11;Nikias Arndt (Ger) Team Sunweb; 
12;Taylor Phinney (USA) Cannondale-Drapac;0:00:17
13;Andriy Grivko (Ukr) Astana Pro Team; 
14;Daryl Impey (RSA) Orica-Scott;0:00:19
15;Jonathan Castroviejo (Spa) Movistar Team;0:00:20
16;Michael Matthews (Aus) Team Sunweb; 
17;Pierre Latour (Fra) AG2R La Mondiale;0:00:25
18;Peter Sagan (Svk) Bora-Hansgrohe; 
19;Andrey Amador (CRc) Movistar Team;0:00:27
20;Alexey Lutsenko (Kaz) Astana Pro Team;0:00:29
21;Philippe Gilbert (Bel) Quick-Step Floors;0:00:30
22;Robert Gesink (Ned) Team LottoNl-Jumbo;0:00:31
23;Sonny Colbrelli (Ita) Bahrain-Merida;0:00:32
24;Tim Wellens (Bel) Lotto Soudal; 
25;Maciej Bodnar (Pol) Bora-Hansgrohe;0:00:33
26;Timo Roosen (Ned) Team LottoNl-Jumbo;0:00:34
27;Alexander Kristoff (Nor) Katusha-Alpecin;0:00:36
28;Reto Hollenstein (Swi) Katusha-Alpecin; 
29;Simon Yates (GBr) Orica-Scott;0:00:37
30;Fabio Felline (Ita) Trek-Segafredo; 
31;Zdenek Stybar (Cze) Quick-Step Floors;0:00:39
32;Alessandro De Marchi (Ita) BMC Racing Team; 
33;Emanuel Buchmann (Ger) Bora-Hansgrohe;0:00:40
34;Paul Martens (Ger) Team LottoNl-Jumbo; 
35;Jesus Herrada (Spa) Movistar Team; 
36;Jasha Sütterlin (Ger) Movistar Team;0:00:41
37;Mike Teunissen (Ned) Team Sunweb; 
38;Nils Politt (Ger) Katusha-Alpecin; 
39;Greg Van Avermaet (Bel) BMC Racing Team;0:00:42
40;Michael Albasini (Swi) Orica-Scott; 
41;Damien Howson (Aus) Orica-Scott;0:00:43
42;Diego Ulissi (Ita) UAE Team Emirates; 
43;Michael Schär (Swi) BMC Racing Team;0:00:44
44;Dylan Van Baarle (Ned) Cannondale-Drapac; 
45;Robert Wagner (Ger) Team LottoNl-Jumbo;0:00:45
46;Ignatas Konovalovas (Ltu) FDJ;0:00:46
47;Simon Geschke (Ger) Team Sunweb; 
48;Damiano Caruso (Ita) BMC Racing Team;0:00:47
49;Richie Porte (Aus) BMC Racing Team; 
50;Imanol Erviti (Spa) Movistar Team;0:00:48
51;Sylvain Chavanel (Fra) Direct Energie; 
52;Jarlinson Pantano (Col) Trek-Segafredo; 
53;Nairo Quintana (Col) Movistar Team; 
54;Rafal Majka (Pol) Bora-Hansgrohe;0:00:49
55;Andrew Talansky (USA) Cannondale-Drapac; 
56;Jack Bauer (NZl) Quick-Step Floors; 
57;Daniel Martin (Irl) Quick-Step Floors; 
58;John Degenkolb (Ger) Trek-Segafredo; 
59;Arnaud Demare (Fra) FDJ; 
60;Thibaut Pinot (Fra) FDJ;0:00:50
61;Romain Sicard (Fra) Direct Energie; 
62;Albert Timmer (Ned) Team Sunweb;0:00:51
63;Romain Bardet (Fra) AG2R La Mondiale; 
64;Alberto Bettiol (Ita) Cannondale-Drapac;0:00:52
65;Primoz Roglic (Slo) Team LottoNl-Jumbo; 
66;Fabio Aru (Ita) Astana Pro Team; 
67;Lilian Calmejane (Fra) Direct Energie;0:00:53
68;Alberto Contador (Spa) Trek-Segafredo;0:00:54
69;Carlos Betancur (Col) Movistar Team; 
70;Jakob Fuglsang (Den) Astana Pro Team; 
71;Koen De Kort (Ned) Trek-Segafredo; 
72;Dmitriy Gruzdev (Kaz) Astana Pro Team; 
73;Michael Valgren Andersen (Den) Astana Pro Team;0:00:55
74;Dario Cataldo (Ita) Astana Pro Team; 
75;Stephen Cummings (GBr) Dimension Data;0:00:56
76;Daniele Bennati (Ita) Movistar Team; 
77;Christian Knees (Ger) Team Sky; 
78;Roman Kreuziger (Cze) Orica-Scott; 
79;André Greipel (Ger) Lotto Soudal;0:00:57
80;Julien Vermote (Bel) Quick-Step Floors;0:00:58
81;Warren Barguil (Fra) Team Sunweb;0:00:59
82;Rudy Molard (Fra) FDJ; 
83;Pierre Luc Perichon (Fra) Team Fortuneo - Oscaro; 
84;Lars Ytting Bak (Den) Lotto Soudal; 
85;Jurgen Roelandts (Bel) Lotto Soudal;0:01:00
86;Danilo Wyss (Swi) BMC Racing Team; 
87;Nicolas Edet (Fra) Cofidis, Solutions Credits; 
88;Mathew Hayman (Aus) Orica-Scott;0:01:01
89;Cyril Lemoine (Fra) Cofidis, Solutions Credits; 
90;Alexis Vuillermoz (Fra) AG2R La Mondiale;0:01:02
91;Simon Clarke (Aus) Cannondale-Drapac; 
92;Markel Irizar (Spa) Trek-Segafredo; 
93;Laurens Ten Dam (Ned) Team Sunweb;0:01:03
94;Maurits Lammertink (Ned) Katusha-Alpecin; 
95;Rigoberto Uran (Col) Cannondale-Drapac; 
96;Jens Keukeleire (Bel) Orica-Scott;0:01:04
97;Maxime Bouet (Fra) Team Fortuneo - Oscaro; 
98;Tiago Machado (Por) Katusha-Alpecin; 
99;Jan Bakelants (Bel) AG2R La Mondiale;0:01:05
100;Haimar Zubeldia (Spa) Trek-Segafredo;0:01:06
101;Nathan Brown (USA) Cannondale-Drapac; 
102;Mikel Landa (Spa) Team Sky;0:01:08
103;Ben Swift (GBr) UAE Team Emirates; 
104;Mathias Frank (Swi) AG2R La Mondiale;0:01:09
105;Eduardo Sepulveda (Arg) Team Fortuneo - Oscaro; 
106;Reinardt Janse Van Rensburg (RSA) Dimension Data; 
107;Serge Pauwels (Bel) Dimension Data;0:01:10
108;Tsgabu Grmay (Eth) Bahrain-Merida; 
109;Jay McCarthy (Aus) Bora-Hansgrohe; 
