position;rider;result
110;Michael Gogl (Aut) Trek-Segafredo; 
111;Marcel Sieberg (Ger) Lotto Soudal;0:01:11
112;Vegard Stake Laengen (Nor) UAE Team Emirates; 
113;Louis Meintjes (RSA) UAE Team Emirates;0:01:12
114;Daniel Mclay (GBr) Team Fortuneo - Oscaro; 
115;Manuele Mori (Ita) UAE Team Emirates; 
116;Esteban Chaves (Col) Orica-Scott;0:01:13
117;Ondrej Cink (Cze) Bahrain-Merida; 
118;Ramon Sinkeldam (Ned) Team Sunweb; 
119;Ben Gastauer (Lux) AG2R La Mondiale; 
120;Christophe Laporte (Fra) Cofidis, Solutions Credits;0:01:14
121;Fabio Sabatini (Ita) Quick-Step Floors; 
122;Nicolas Roche (Irl) BMC Racing Team; 
123;Tiesj Benoot (Bel) Lotto Soudal;0:01:15
124;Pierre Rolland (Fra) Cannondale-Drapac;0:01:16
125;Sergio Henao (Col) Team Sky; 
126;Oliver Naesen (Bel) AG2R La Mondiale; 
127;Axel Domont (Fra) AG2R La Mondiale; 
128;Gianluca Brambilla (Ita) Quick-Step Floors; 
129;Frederik Backaert (Bel) Wanty - Groupe Gobert;0:01:17
130;Florian Vachon (Fra) Team Fortuneo - Oscaro; 
131;Thomas De Gendt (Bel) Lotto Soudal; 
132;Bauke Mollema (Ned) Trek-Segafredo;0:01:18
133;Mikel Nieve (Spa) Team Sky;0:01:20
134;Javier Moreno (Spa) Bahrain-Merida; 
135;Olivier Le Gac (Fra) FDJ; 
136;Grega Bole (Slo) Bahrain-Merida; 
137;Dimitri Claeys (Bel) Cofidis, Solutions Credits; 
138;Elie Gesbert (Fra) Team Fortuneo - Oscaro; 
139;Thomas Leezer (Ned) Team LottoNl-Jumbo; 
140;Matteo Bono (Ita) UAE Team Emirates; 
141;Jaco Venter (RSA) Dimension Data; 
142;Janez Brajkovic (Slo) Bahrain-Merida; 
143;Marco Marcato (Ita) UAE Team Emirates;0:01:21
144;Andrea Pasqualon (Ita) Wanty - Groupe Gobert;0:01:23
145;Mickael Delage (Fra) FDJ; 
146;Florian Senechal (Fra) Cofidis, Solutions Credits;0:01:24
147;Amael Moinard (Fra) BMC Racing Team;0:01:25
148;Brice Feillu (Fra) Team Fortuneo - Oscaro; 
149;Thomas Boudat (Fra) Direct Energie;0:01:27
150;Yohann Gene (Fra) Direct Energie; 
151;Angelo Tulik (Fra) Direct Energie; 
152;Bakhtiyar Kozhatayev (Kaz) Astana Pro Team;0:01:28
153;Julien Simon (Fra) Cofidis, Solutions Credits;0:01:29
154;Marco Haller (Aut) Katusha-Alpecin; 
155;Yoann Offredo (Fra) Wanty - Groupe Gobert; 
156;Arthur Vichot (Fra) FDJ; 
157;Thomas Degand (Bel) Wanty - Groupe Gobert; 
158;Thomas Voeckler (Fra) Direct Energie;0:01:32
159;Pawel Poljanski (Pol) Bora-Hansgrohe; 
160;Pieter Vanspeybrouck (Bel) Wanty - Groupe Gobert;0:01:36
161;Juraj Sagan (Svk) Bora-Hansgrohe;0:01:37
162;George Bennett (NZl) Team LottoNl-Jumbo; 
163;Laurent Pichon (Fra) Team Fortuneo - Oscaro;0:01:39
164;Borut Bozic (Slo) Bahrain-Merida;0:01:40
165;Davide Cimolai (Ita) FDJ; 
166;Rüdiger Selig (Ger) Bora-Hansgrohe;0:01:41
167;Guillaume Martin (Fra) Wanty - Groupe Gobert;0:01:42
168;Bernhard Eisel (Aut) Dimension Data; 
169;Cyril Gautier (Fra) AG2R La Mondiale;0:01:43
170;Andrey Zeits (Kaz) Astana Pro Team; 
171;Marco Minnaard (Ned) Wanty - Groupe Gobert; 
172;Marcus Burghardt (Ger) Bora-Hansgrohe; 
173;Romain Hardy (Fra) Team Fortuneo - Oscaro;0:01:45
174;Adrien Petit (Fra) Direct Energie; 
175;Yukiya Arashiro (Jpn) Bahrain-Merida;0:01:46
176;Mark Cavendish (GBr) Dimension Data; 
177;Perrig Quemeneur (Fra) Direct Energie;0:01:47
178;Dion Smith (NZl) Wanty - Groupe Gobert; 
179;Jacopo Guarnieri (Ita) FDJ;0:01:48
180;Patrick Bevin (NZl) Cannondale-Drapac; 
181;Scott Thwaites (GBr) Dimension Data;0:01:50
182;Luke Rowe (GBr) Team Sky; 
183;Mark Renshaw (Aus) Dimension Data; 
184;Guillaume Van Keirsbulck (Bel) Wanty - Groupe Gobert;0:01:54
185;Dylan Groenewegen (Ned) Team LottoNl-Jumbo;0:01:55
186;Daniel Navarro (Spa) Cofidis, Solutions Credits;0:01:57
187;Kristijan Durasek (Cro) UAE Team Emirates; 
188;Adam James Hansen (Aus) Lotto Soudal;0:01:59
189;Roy Curvers (Ned) Team Sunweb;0:02:12
190;Rick Zabel (Ger) Katusha-Alpecin; 
191;Robert Kiserlovski (Cro) Katusha-Alpecin;0:02:13
192;Luis Angel Mate (Spa) Cofidis, Solutions Credits; 
193;Nacer Bouhanni (Fra) Cofidis, Solutions Credits;0:02:23
194;Darwin Atapuma (Col) UAE Team Emirates;0:02:26
195;Luke Durbridge (Aus) Orica-Scott;0:03:01
196;Tony Gallopin (Fra) Lotto Soudal;0:03:03
