position;rider;result
103;Scott Thwaites (GBr) Dimension Data;1:07:42
104;Michael Schär (Swi) BMC Racing Team;1:09:03
105;Alessandro De Marchi (Ita) BMC Racing Team; 
106;Thomas De Gendt (Bel) Lotto Soudal;1:09:15
107;Javier Moreno (Spa) Bahrain-Merida;1:09:23
108;Marco Marcato (Ita) UAE Team Emirates;1:09:28
109;Elie Gesbert (Fra) Team Fortuneo - Oscaro;1:09:57
110;Andrey Amador (CRc) Movistar Team;1:10:42
111;Jurgen Roelandts (Bel) Lotto Soudal;1:12:03
112;Lars Ytting Bak (Den) Lotto Soudal;1:12:16
113;Andrea Pasqualon (Ita) Wanty - Groupe Gobert;1:12:38
114;Julien Simon (Fra) Cofidis, Solutions Credits;1:12:52
115;Yukiya Arashiro (Jpn) Bahrain-Merida;1:12:54
116;Mike Teunissen (Ned) Team Sunweb;1:13:00
117;Tim Wellens (Bel) Lotto Soudal;1:13:17
118;Rick Zabel (Ger) Katusha-Alpecin;1:13:42
119;Matteo Bono (Ita) UAE Team Emirates;1:13:43
120;Maciej Bodnar (Pol) Bora-Hansgrohe;1:14:22
121;Jesus Herrada (Spa) Movistar Team;1:14:33
122;John Degenkolb (Ger) Trek-Segafredo;1:14:41
123;Fabio Felline (Ita) Trek-Segafredo;1:14:43
124;Michael Gogl (Aut) Trek-Segafredo;1:14:49
125;Dion Smith (NZl) Wanty - Groupe Gobert;1:14:55
126;Jack Bauer (NZl) Quick-Step Floors;1:15:23
127;Marcus Burghardt (Ger) Bora-Hansgrohe;1:16:02
128;Timo Roosen (Ned) Team LottoNl-Jumbo;1:16:21
129;Tsgabu Grmay (Eth) Bahrain-Merida;1:17:23
130;Bakhtiyar Kozhatayev (Kaz) Astana Pro Team;1:17:35
131;Frederik Backaert (Bel) Wanty - Groupe Gobert;1:18:16
132;Thomas Voeckler (Fra) Direct Energie;1:18:38
133;Ben Swift (GBr) UAE Team Emirates;1:18:45
134;Markel Irizar (Spa) Trek-Segafredo;1:19:32
135;Jasha Sütterlin (Ger) Movistar Team;1:20:22
136;Dmitriy Gruzdev (Kaz) Astana Pro Team;1:20:41
137;Andriy Grivko (Ukr) Astana Pro Team;1:20:42
138;Mathew Hayman (Aus) Orica-Scott;1:21:07
139;Daniele Bennati (Ita) Movistar Team;1:21:09
140;Reinardt Janse Van Rensburg (RSA) Dimension Data;1:21:22
141;Romain Sicard (Fra) Direct Energie;1:22:19
142;Vasil Kiryienka (Blr) Team Sky;1:23:34
143;Sonny Colbrelli (Ita) Bahrain-Merida;1:24:19
144;Cyril Lemoine (Fra) Cofidis, Solutions Credits;1:24:25
145;Laurent Pichon (Fra) Team Fortuneo - Oscaro;1:24:26
146;Grega Bole (Slo) Bahrain-Merida;1:24:38
147;Tony Martin (Ger) Katusha-Alpecin;1:24:57
148;Adrien Petit (Fra) Direct Energie;1:25:56
149;Marcel Kittel (Ger) Quick-Step Floors;1:25:59
150;Fabio Sabatini (Ita) Quick-Step Floors;1:26:57
151;Christian Knees (Ger) Team Sky;1:27:32
152;Ramon Sinkeldam (Ned) Team Sunweb;1:27:57
153;Nacer Bouhanni (Fra) Cofidis, Solutions Credits;1:28:20
154;Dylan Groenewegen (Ned) Team LottoNl-Jumbo;1:28:29
155;Guillaume Van Keirsbulck (Bel) Wanty - Groupe Gobert;1:29:10
156;Christophe Laporte (Fra) Cofidis, Solutions Credits;1:29:21
157;Alexander Kristoff (Nor) Katusha-Alpecin;1:29:45
158;Marco Haller (Aut) Katusha-Alpecin;1:29:51
159;Julien Vermote (Bel) Quick-Step Floors;1:30:14
160;Roy Curvers (Ned) Team Sunweb;1:30:54
161;Bernhard Eisel (Aut) Dimension Data;1:30:55
162;André Greipel (Ger) Lotto Soudal;1:30:58
163;Daniel Mclay (GBr) Team Fortuneo - Oscaro;1:31:04
164;Yohann Gene (Fra) Direct Energie;1:31:07
165;Marcel Sieberg (Ger) Lotto Soudal;1:31:48
166;Florian Senechal (Fra) Cofidis, Solutions Credits;1:32:24
167;Taylor Phinney (USA) Cannondale-Drapac;1:33:35
168;Stephen Cummings (GBr) Dimension Data;1:35:03
169;Thomas Boudat (Fra) Direct Energie;1:35:33
170;Robert Wagner (Ger) Team LottoNl-Jumbo;1:35:53
171;Borut Bozic (Slo) Bahrain-Merida;1:36:32
172;Albert Timmer (Ned) Team Sunweb;1:38:22
173;Dimitri Claeys (Bel) Cofidis, Solutions Credits;1:39:16
174;Reto Hollenstein (Swi) Katusha-Alpecin;1:40:29
175;Davide Cimolai (Ita) FDJ;1:40:51
176;Jaco Venter (RSA) Dimension Data;1:41:10
177;Rüdiger Selig (Ger) Bora-Hansgrohe;1:41:43
178;Thomas Leezer (Ned) Team LottoNl-Jumbo;1:52:20
179;Luke Rowe (GBr) Team Sky;1:56:00
180;Olivier Le Gac (Fra) FDJ;1:56:55
