position;rider;result
1;Geraint Thomas (GBr) Team Sky;10:00:31
2;Christopher Froome (GBr) Team Sky;0:00:12
3;Michael Matthews (Aus) Team Sunweb; 
4;Peter Sagan (Svk) Bora-Hansgrohe;0:00:13
5;Edvald Boasson Hagen (Nor) Dimension Data;0:00:16
6;Pierre Latour (Fra) AG2R La Mondiale;0:00:25
7;Philippe Gilbert (Bel) Quick-Step Floors;0:00:30
8;Michal Kwiatkowski (Pol) Team Sky;0:00:32
9;Tim Wellens (Bel) Lotto Soudal; 
10;Nikias Arndt (Ger) Team Sunweb;0:00:34
11;Alexey Lutsenko (Kaz) Astana Pro Team;0:00:37
12;Stefan Küng (Swi) BMC Racing Team;0:00:38
13;Emanuel Buchmann (Ger) Bora-Hansgrohe;0:00:40
14;Greg Van Avermaet (Bel) BMC Racing Team; 
15;Daniel Martin (Irl) Quick-Step Floors;0:00:43
16;Diego Ulissi (Ita) UAE Team Emirates; 
17;Arnaud Demare (Fra) FDJ; 
18;Simon Yates (GBr) Orica-Scott;0:00:45
19;Daryl Impey (RSA) Orica-Scott; 
20;Richie Porte (Aus) BMC Racing Team;0:00:47
21;Nairo Quintana (Col) Movistar Team;0:00:48
22;Jesus Herrada (Spa) Movistar Team; 
23;Rafal Majka (Pol) Bora-Hansgrohe;0:00:49
24;Romain Bardet (Fra) AG2R La Mondiale;0:00:51
25;Alberto Bettiol (Ita) Cannondale-Drapac;0:00:52
26;Fabio Aru (Ita) Astana Pro Team; 
27;Alberto Contador (Spa) Trek-Segafredo;0:00:54
28;Carlos Betancur (Col) Movistar Team; 
29;Jakob Fuglsang (Den) Astana Pro Team; 
30;Roman Kreuziger (Cze) Orica-Scott;0:00:56
31;Rigoberto Uran (Col) Cannondale-Drapac;0:01:03
32;Simon Geschke (Ger) Team Sunweb;0:01:04
33;Sylvain Chavanel (Fra) Direct Energie;0:01:05
34;Zdenek Stybar (Cze) Quick-Step Floors; 
35;Rudy Molard (Fra) FDJ;0:01:07
36;Mikel Landa (Spa) Team Sky;0:01:08
37;Michael Albasini (Swi) Orica-Scott; 
38;Sonny Colbrelli (Ita) Bahrain-Merida;0:01:09
39;Alexis Vuillermoz (Fra) AG2R La Mondiale;0:01:10
40;Simon Clarke (Aus) Cannondale-Drapac; 
41;Warren Barguil (Fra) Team Sunweb;0:01:12
42;Louis Meintjes (RSA) UAE Team Emirates; 
43;Andrew Talansky (USA) Cannondale-Drapac; 
44;Esteban Chaves (Col) Orica-Scott;0:01:13
45;Tiesj Benoot (Bel) Lotto Soudal;0:01:15
46;Mathias Frank (Swi) AG2R La Mondiale;0:01:17
47;Serge Pauwels (Bel) Dimension Data;0:01:18
48;Jan Bakelants (Bel) AG2R La Mondiale;0:01:23
49;Sergio Henao (Col) Team Sky;0:01:24
50;Maxime Bouet (Fra) Team Fortuneo - Oscaro;0:01:27
51;Tiago Machado (Por) Katusha-Alpecin;0:01:30
52;Reinardt Janse Van Rensburg (RSA) Dimension Data;0:01:35
53;Nicolas Roche (Irl) BMC Racing Team;0:01:37
54;Guillaume Martin (Fra) Wanty - Groupe Gobert;0:01:42
55;Vasil Kiryienka (Blr) Team Sky; 
56;Brice Feillu (Fra) Team Fortuneo - Oscaro;0:01:43
57;Damiano Caruso (Ita) BMC Racing Team;0:01:50
58;Jarlinson Pantano (Col) Trek-Segafredo;0:01:51
59;John Degenkolb (Ger) Trek-Segafredo;0:01:52
60;Mikel Nieve (Spa) Team Sky;0:01:53
61;George Bennett (NZl) Team LottoNl-Jumbo;0:01:55
62;Michael Valgren Andersen (Den) Astana Pro Team;0:01:58
63;Angelo Tulik (Fra) Direct Energie;0:02:00
64;Jos Van Emden (Ned) Team LottoNl-Jumbo;0:02:02
65;Thomas Degand (Bel) Wanty - Groupe Gobert; 
66;Nicolas Edet (Fra) Cofidis, Solutions Credits;0:02:03
67;Andriy Grivko (Ukr) Astana Pro Team;0:02:04
68;Grega Bole (Slo) Bahrain-Merida;0:02:09
69;Eduardo Sepulveda (Arg) Team Fortuneo - Oscaro;0:02:12
70;Matteo Trentin (Ita) Quick-Step Floors;0:02:13
71;Paul Martens (Ger) Team LottoNl-Jumbo;0:02:15
