position;rider;result
72;Alexander Kristoff (Nor) Katusha-Alpecin;0:02:16
73;Daniel Navarro (Spa) Cofidis, Solutions Credits;0:02:23
74;Fabio Felline (Ita) Trek-Segafredo;0:02:24
75;Lilian Calmejane (Fra) Direct Energie;0:02:28
76;Mike Teunissen (Ned) Team Sunweb; 
77;Damien Howson (Aus) Orica-Scott;0:02:30
78;Pieter Vanspeybrouck (Bel) Wanty - Groupe Gobert;0:02:32
79;Julien Simon (Fra) Cofidis, Solutions Credits; 
80;Elie Gesbert (Fra) Team Fortuneo - Oscaro;0:02:33
81;Primoz Roglic (Slo) Team LottoNl-Jumbo;0:02:39
82;Koen De Kort (Ned) Trek-Segafredo;0:02:41
83;Jay McCarthy (Aus) Bora-Hansgrohe;0:02:45
84;Lars Ytting Bak (Den) Lotto Soudal;0:02:46
85;Jurgen Roelandts (Bel) Lotto Soudal;0:02:47
86;Danilo Wyss (Swi) BMC Racing Team; 
87;Manuele Mori (Ita) UAE Team Emirates; 
88;Oliver Naesen (Bel) AG2R La Mondiale;0:02:51
89;Jens Keukeleire (Bel) Orica-Scott; 
90;Jack Bauer (NZl) Quick-Step Floors;0:02:52
91;Haimar Zubeldia (Spa) Trek-Segafredo;0:02:53
92;Ben Swift (GBr) UAE Team Emirates;0:02:55
93;Marcel Kittel (Ger) Quick-Step Floors;0:02:56
94;Marco Marcato (Ita) UAE Team Emirates; 
95;Tsgabu Grmay (Eth) Bahrain-Merida;0:02:57
96;Ondrej Cink (Cze) Bahrain-Merida;0:03:00
97;Ben Gastauer (Lux) AG2R La Mondiale; 
98;Janez Brajkovic (Slo) Bahrain-Merida;0:03:07
99;Robert Kiserlovski (Cro) Katusha-Alpecin;0:03:09
100;Andrea Pasqualon (Ita) Wanty - Groupe Gobert;0:03:10
101;Jonathan Castroviejo (Spa) Movistar Team; 
102;Arthur Vichot (Fra) FDJ;0:03:16
103;Pawel Poljanski (Pol) Bora-Hansgrohe;0:03:19
104;Yukiya Arashiro (Jpn) Bahrain-Merida;0:03:21
105;Dion Smith (NZl) Wanty - Groupe Gobert;0:03:22
106;Maciej Bodnar (Pol) Bora-Hansgrohe;0:03:23
107;Timo Roosen (Ned) Team LottoNl-Jumbo;0:03:24
108;Cyril Gautier (Fra) AG2R La Mondiale;0:03:30
109;Marco Minnaard (Ned) Wanty - Groupe Gobert; 
110;Romain Hardy (Fra) Team Fortuneo - Oscaro;0:03:32
111;Adrien Petit (Fra) Direct Energie; 
112;Patrick Bevin (NZl) Cannondale-Drapac;0:03:35
113;Imanol Erviti (Spa) Movistar Team;0:03:38
114;Guillaume Van Keirsbulck (Bel) Wanty - Groupe Gobert;0:03:41
115;Scott Thwaites (GBr) Dimension Data;0:03:43
116;André Greipel (Ger) Lotto Soudal; 
117;Robert Gesink (Ned) Team LottoNl-Jumbo;0:03:45
118;Dario Cataldo (Ita) Astana Pro Team; 
119;Daniele Bennati (Ita) Movistar Team;0:03:46
120;Pierre Luc Perichon (Fra) Team Fortuneo - Oscaro;0:03:49
121;Bauke Mollema (Ned) Trek-Segafredo;0:03:52
122;Laurens Ten Dam (Ned) Team Sunweb;0:03:53
123;Thibaut Pinot (Fra) FDJ;0:03:55
124;Rick Zabel (Ger) Katusha-Alpecin;0:03:59
125;Vegard Stake Laengen (Nor) UAE Team Emirates;0:04:01
126;Daniel Mclay (GBr) Team Fortuneo - Oscaro;0:04:02
127;Markel Irizar (Spa) Trek-Segafredo; 
128;Ramon Sinkeldam (Ned) Team Sunweb;0:04:03
129;Fabio Sabatini (Ita) Quick-Step Floors;0:04:04
130;Florian Vachon (Fra) Team Fortuneo - Oscaro; 
131;Nils Politt (Ger) Katusha-Alpecin;0:04:05
132;Taylor Phinney (USA) Cannondale-Drapac;0:04:08
133;Robert Wagner (Ger) Team LottoNl-Jumbo;0:04:09
134;Mathew Hayman (Aus) Orica-Scott;0:04:11
135;Yohann Gene (Fra) Direct Energie;0:04:17
136;Christian Knees (Ger) Team Sky;0:04:18
137;Yoann Offredo (Fra) Wanty - Groupe Gobert;0:04:19
138;Florian Senechal (Fra) Cofidis, Solutions Credits;0:04:24
139;Marcel Sieberg (Ger) Lotto Soudal;0:04:25
140;Bernhard Eisel (Aut) Dimension Data;0:04:32
141;Perrig Quemeneur (Fra) Direct Energie;0:04:37
142;Andrey Zeits (Kaz) Astana Pro Team;0:04:43
143;Stephen Cummings (GBr) Dimension Data;0:04:47
144;Kristijan Durasek (Cro) UAE Team Emirates; 
145;Dmitriy Gruzdev (Kaz) Astana Pro Team;0:04:54
146;Alessandro De Marchi (Ita) BMC Racing Team;0:04:56
147;Dylan Groenewegen (Ned) Team LottoNl-Jumbo;0:05:00
148;Christophe Laporte (Fra) Cofidis, Solutions Credits;0:05:01
149;Roy Curvers (Ned) Team Sunweb;0:05:02
150;Ignatas Konovalovas (Ltu) FDJ;0:05:07
151;Pierre Rolland (Fra) Cannondale-Drapac; 
152;Marcus Burghardt (Ger) Bora-Hansgrohe; 
153;Amael Moinard (Fra) BMC Racing Team;0:05:09
154;Gianluca Brambilla (Ita) Quick-Step Floors;0:05:12
155;Luis Angel Mate (Spa) Cofidis, Solutions Credits;0:05:13
156;Nacer Bouhanni (Fra) Cofidis, Solutions Credits;0:05:23
157;Darwin Atapuma (Col) UAE Team Emirates;0:05:26
158;Mark Cavendish (GBr) Dimension Data;0:05:42
159;Thomas Voeckler (Fra) Direct Energie;0:05:53
160;Jacopo Guarnieri (Ita) FDJ;0:06:12
161;Jaco Venter (RSA) Dimension Data;0:06:15
162;Davide Cimolai (Ita) FDJ;0:06:57
163;Mark Renshaw (Aus) Dimension Data;0:07:16
164;Michael Gogl (Aut) Trek-Segafredo;0:07:31
165;Thomas Boudat (Fra) Direct Energie;0:07:34
166;Thomas De Gendt (Bel) Lotto Soudal;0:07:57
167;Michael Schär (Swi) BMC Racing Team;0:09:31
168;Laurent Pichon (Fra) Team Fortuneo - Oscaro;0:09:41
169;Dylan Van Baarle (Ned) Cannondale-Drapac;0:09:45
170;Tony Gallopin (Fra) Lotto Soudal;0:10:04
171;Bakhtiyar Kozhatayev (Kaz) Astana Pro Team;0:10:20
172;Javier Moreno (Spa) Bahrain-Merida;0:11:19
173;Borut Bozic (Slo) Bahrain-Merida;0:11:57
174;Maurits Lammertink (Ned) Katusha-Alpecin;0:12:36
175;Romain Sicard (Fra) Direct Energie;0:12:42
176;Tony Martin (Ger) Katusha-Alpecin;0:12:44
177;Nathan Brown (USA) Cannondale-Drapac;0:12:58
178;Andrey Amador (CRc) Movistar Team;0:13:03
179;Jasha Sütterlin (Ger) Movistar Team;0:13:08
180;Frederik Backaert (Bel) Wanty - Groupe Gobert;0:13:09
181;Albert Timmer (Ned) Team Sunweb;0:13:35
182;Juraj Sagan (Svk) Bora-Hansgrohe;0:14:04
183;Rüdiger Selig (Ger) Bora-Hansgrohe;0:14:08
184;Dimitri Claeys (Bel) Cofidis, Solutions Credits;0:14:09
185;Matteo Bono (Ita) UAE Team Emirates;0:14:20
186;Julien Vermote (Bel) Quick-Step Floors;0:14:25
187;Adam James Hansen (Aus) Lotto Soudal;0:14:43
188;Cyril Lemoine (Fra) Cofidis, Solutions Credits;0:14:51
189;Mickael Delage (Fra) FDJ;0:15:03
190;Axel Domont (Fra) AG2R La Mondiale;0:15:14
191;Marco Haller (Aut) Katusha-Alpecin;0:16:55
192;Reto Hollenstein (Swi) Katusha-Alpecin;0:19:26
193;Luke Rowe (GBr) Team Sky;0:19:36
194;Thomas Leezer (Ned) Team LottoNl-Jumbo;0:26:12
195;Olivier Le Gac (Fra) FDJ;0:27:14
