position;rider;result
53;Arthur Vichot (Fra) FDJ;0:43:50
54;Michael Valgren Andersen (Den) Astana Pro Team;0:44:15
55;Gianluca Brambilla (Ita) Quick-Step Floors;0:45:50
56;Tiago Machado (Por) Katusha-Alpecin;0:47:32
57;Nathan Brown (USA) Cannondale-Drapac;0:48:04
58;Simon Clarke (Aus) Cannondale-Drapac;0:48:59
59;Pawel Poljanski (Pol) Bora-Hansgrohe;0:49:19
60;Andrey Zeits (Kaz) Astana Pro Team;0:49:37
61;Maxime Bouet (Fra) Team Fortuneo - Oscaro;0:50:19
62;Oliver Naesen (Bel) AG2R La Mondiale;0:50:22
63;Greg Van Avermaet (Bel) BMC Racing Team;0:50:44
64;Cyril Gautier (Fra) AG2R La Mondiale;0:51:01
65;Thibaut Pinot (Fra) FDJ;0:52:02
66;Jens Keukeleire (Bel) Orica-Scott;0:52:04
67;Yoann Offredo (Fra) Wanty - Groupe Gobert;0:52:28
68;Jay McCarthy (Aus) Bora-Hansgrohe;0:54:19
69;Diego Ulissi (Ita) UAE Team Emirates;0:54:26
70;Alexey Lutsenko (Kaz) Astana Pro Team;0:54:38
71;Daryl Impey (RSA) Orica-Scott;0:55:44
72;Edvald Boasson Hagen (Nor) Dimension Data;0:57:03
73;Simon Geschke (Ger) Team Sunweb;0:57:18
74;Angelo Tulik (Fra) Direct Energie;0:57:42
75;Damien Howson (Aus) Orica-Scott;0:57:45
76;Michal Kwiatkowski (Pol) Team Sky;0:58:27
77;Axel Domont (Fra) AG2R La Mondiale;0:58:31
78;Amael Moinard (Fra) BMC Racing Team;0:59:05
79;Perrig Quemeneur (Fra) Direct Energie;0:59:10
80;Philippe Gilbert (Bel) Quick-Step Floors;0:59:17
81;Kristijan Durasek (Cro) UAE Team Emirates;0:59:38
82;Zdenek Stybar (Cze) Quick-Step Floors;1:00:23
83;Pieter Vanspeybrouck (Bel) Wanty - Groupe Gobert;1:00:38
84;Patrick Bevin (NZl) Cannondale-Drapac; 
85;Michael Matthews (Aus) Team Sunweb;1:01:13
86;Paul Martens (Ger) Team LottoNl-Jumbo;1:01:29
87;Koen De Kort (Ned) Trek-Segafredo;1:01:31
88;Danilo Wyss (Swi) BMC Racing Team;1:01:37
89;Nils Politt (Ger) Katusha-Alpecin;1:02:23
90;Michael Albasini (Swi) Orica-Scott;1:02:55
91;Pierre Luc Perichon (Fra) Team Fortuneo - Oscaro;1:03:37
92;Maurits Lammertink (Ned) Katusha-Alpecin;1:04:27
93;Imanol Erviti (Spa) Movistar Team;1:04:50
94;Alberto Bettiol (Ita) Cannondale-Drapac; 
95;Dylan Van Baarle (Ned) Cannondale-Drapac;1:05:16
96;Darwin Atapuma (Col) UAE Team Emirates;1:05:27
97;Nikias Arndt (Ger) Team Sunweb;1:06:04
98;Florian Vachon (Fra) Team Fortuneo - Oscaro;1:06:42
99;Adam James Hansen (Aus) Lotto Soudal;1:07:19
100;Stefan Küng (Swi) BMC Racing Team;1:07:22
101;Vegard Stake Laengen (Nor) UAE Team Emirates;1:07:57
102;Michael Schär (Swi) BMC Racing Team;1:09:03
103;Scott Thwaites (GBr) Dimension Data;1:09:08
104;Elie Gesbert (Fra) Team Fortuneo - Oscaro;1:10:35
105;Alessandro De Marchi (Ita) BMC Racing Team;1:10:40
106;Andrey Amador (CRc) Movistar Team;1:10:42
107;Javier Moreno (Spa) Bahrain-Merida;1:10:49
108;Thomas De Gendt (Bel) Lotto Soudal;1:11:21
109;Marco Marcato (Ita) UAE Team Emirates;1:11:48
110;Jurgen Roelandts (Bel) Lotto Soudal;1:12:03
111;Lars Ytting Bak (Den) Lotto Soudal;1:12:16
112;Andrea Pasqualon (Ita) Wanty - Groupe Gobert;1:12:38
113;Yukiya Arashiro (Jpn) Bahrain-Merida;1:13:14
114;Rick Zabel (Ger) Katusha-Alpecin;1:13:42
115;Matteo Bono (Ita) UAE Team Emirates;1:13:43
116;Maciej Bodnar (Pol) Bora-Hansgrohe;1:14:22
117;John Degenkolb (Ger) Trek-Segafredo;1:14:41
118;Fabio Felline (Ita) Trek-Segafredo;1:14:43
119;Dion Smith (NZl) Wanty - Groupe Gobert;1:14:55
120;Julien Simon (Fra) Cofidis, Solutions Credits;1:14:58
121;Mike Teunissen (Ned) Team Sunweb;1:15:20
122;Jack Bauer (NZl) Quick-Step Floors;1:15:23
123;Marcus Burghardt (Ger) Bora-Hansgrohe;1:16:02
124;Timo Roosen (Ned) Team LottoNl-Jumbo;1:16:21
125;Jesus Herrada (Spa) Movistar Team;1:16:39
126;Tsgabu Grmay (Eth) Bahrain-Merida;1:17:23
127;Ben Swift (GBr) UAE Team Emirates;1:18:45
128;Michael Gogl (Aut) Trek-Segafredo;1:19:05
129;Tim Wellens (Bel) Lotto Soudal;1:19:21
130;Markel Irizar (Spa) Trek-Segafredo;1:19:32
131;Frederik Backaert (Bel) Wanty - Groupe Gobert;1:19:42
132;Bakhtiyar Kozhatayev (Kaz) Astana Pro Team;1:19:55
133;Jasha Sütterlin (Ger) Movistar Team;1:20:22
134;Dmitriy Gruzdev (Kaz) Astana Pro Team;1:20:41
135;Andriy Grivko (Ukr) Astana Pro Team;1:20:42
136;Thomas Voeckler (Fra) Direct Energie;1:20:44
137;Mathew Hayman (Aus) Orica-Scott;1:21:07
138;Daniele Bennati (Ita) Movistar Team;1:21:09
139;Reinardt Janse Van Rensburg (RSA) Dimension Data;1:21:22
140;Romain Sicard (Fra) Direct Energie;1:22:54
141;Vasil Kiryienka (Blr) Team Sky;1:23:34
142;Grega Bole (Slo) Bahrain-Merida;1:24:38
143;Sonny Colbrelli (Ita) Bahrain-Merida;1:24:39
144;Tony Martin (Ger) Katusha-Alpecin;1:24:57
145;Cyril Lemoine (Fra) Cofidis, Solutions Credits;1:25:35
146;Marcel Kittel (Ger) Quick-Step Floors;1:25:49
147;Adrien Petit (Fra) Direct Energie;1:25:56
148;Laurent Pichon (Fra) Team Fortuneo - Oscaro;1:26:32
149;Fabio Sabatini (Ita) Quick-Step Floors;1:26:57
150;Christian Knees (Ger) Team Sky;1:28:19
151;Dylan Groenewegen (Ned) Team LottoNl-Jumbo;1:28:23
152;Ramon Sinkeldam (Ned) Team Sunweb;1:29:04
153;Guillaume Van Keirsbulck (Bel) Wanty - Groupe Gobert;1:29:10
154;Nacer Bouhanni (Fra) Cofidis, Solutions Credits;1:29:20
155;Christophe Laporte (Fra) Cofidis, Solutions Credits;1:29:21
156;Alexander Kristoff (Nor) Katusha-Alpecin;1:29:45
157;Marco Haller (Aut) Katusha-Alpecin;1:29:51
158;Roy Curvers (Ned) Team Sunweb;1:30:54
159;André Greipel (Ger) Lotto Soudal;1:30:58
160;Daniel Mclay (GBr) Team Fortuneo - Oscaro;1:31:04
161;Yohann Gene (Fra) Direct Energie;1:31:07
162;Marcel Sieberg (Ger) Lotto Soudal;1:31:48
163;Bernhard Eisel (Aut) Dimension Data;1:32:17
164;Florian Senechal (Fra) Cofidis, Solutions Credits;1:33:34
165;Taylor Phinney (USA) Cannondale-Drapac;1:33:35
166;Julien Vermote (Bel) Quick-Step Floors;1:33:58
167;Stephen Cummings (GBr) Dimension Data;1:35:03
168;Thomas Boudat (Fra) Direct Energie;1:35:33
169;Borut Bozic (Slo) Bahrain-Merida;1:36:32
170;Robert Wagner (Ger) Team LottoNl-Jumbo;1:37:59
171;Dimitri Claeys (Bel) Cofidis, Solutions Credits;1:40:26
172;Reto Hollenstein (Swi) Katusha-Alpecin;1:40:29
173;Albert Timmer (Ned) Team Sunweb;1:40:42
174;Davide Cimolai (Ita) FDJ;1:40:51
175;Rüdiger Selig (Ger) Bora-Hansgrohe;1:41:43
176;Jaco Venter (RSA) Dimension Data;1:43:30
177;Thomas Leezer (Ned) Team LottoNl-Jumbo;1:53:30
178;Olivier Le Gac (Fra) FDJ;1:56:55
179;Luke Rowe (GBr) Team Sky;1:57:26
