position;rider;result
77;Angelo Tulik (Fra) Direct Energie;0:12:46
78;Paul Martens (Ger) Team LottoNl-Jumbo;0:12:55
79;Reinardt Janse Van Rensburg (RSA) Dimension Data;0:13:08
80;Pieter Vanspeybrouck (Bel) Wanty - Groupe Gobert;0:13:18
81;Patrick Bevin (NZl) Cannondale-Drapac; 
82;Kristijan Durasek (Cro) UAE Team Emirates;0:13:21
83;Michael Albasini (Swi) Orica-Scott;0:13:30
84;Michael Matthews (Aus) Team Sunweb;0:13:53
85;Imanol Erviti (Spa) Movistar Team;0:13:57
86;Koen De Kort (Ned) Trek-Segafredo;0:14:11
87;Danilo Wyss (Swi) BMC Racing Team;0:14:17
88;Lars Ytting Bak (Den) Lotto Soudal;0:14:18
89;Perrig Quemeneur (Fra) Direct Energie;0:14:23
90;Jurgen Roelandts (Bel) Lotto Soudal;0:14:27
91;Yoann Offredo (Fra) Wanty - Groupe Gobert;0:14:29
92;Andrea Pasqualon (Ita) Wanty - Groupe Gobert;0:14:40
93;Daniel Navarro (Spa) Cofidis, Solutions Credits;0:14:47
94;Dion Smith (NZl) Wanty - Groupe Gobert;0:14:52
95;Marcus Burghardt (Ger) Bora-Hansgrohe;0:14:53
96;Julien Simon (Fra) Cofidis, Solutions Credits;0:14:54
97;Yukiya Arashiro (Jpn) Bahrain-Merida;0:14:56
98;Pierre Rolland (Fra) Cannondale-Drapac;0:15:00
99;Robert Gesink (Ned) Team LottoNl-Jumbo;0:15:17
100;Jack Bauer (NZl) Quick-Step Floors;0:15:20
101;Mike Teunissen (Ned) Team Sunweb;0:15:24
102;Andrey Zeits (Kaz) Astana Pro Team;0:15:29
103;Rick Zabel (Ger) Katusha-Alpecin; 
104;Markel Irizar (Spa) Trek-Segafredo;0:15:32
105;Jesus Herrada (Spa) Movistar Team;0:15:34
106;Vegard Stake Laengen (Nor) UAE Team Emirates;0:15:43
107;Sonny Colbrelli (Ita) Bahrain-Merida;0:16:05
108;Pierre Luc Perichon (Fra) Team Fortuneo - Oscaro;0:16:17
109;Timo Roosen (Ned) Team LottoNl-Jumbo;0:16:18
110;Tony Gallopin (Fra) Lotto Soudal;0:16:24
111;Stefan Küng (Swi) BMC Racing Team;0:16:31
112;Vasil Kiryienka (Blr) Team Sky;0:16:35
113;Michael Valgren Andersen (Den) Astana Pro Team;0:16:41
114;Maciej Bodnar (Pol) Bora-Hansgrohe;0:16:46
115;Adrien Petit (Fra) Direct Energie;0:16:51
116;Maurits Lammertink (Ned) Katusha-Alpecin;0:17:07
117;Fabio Felline (Ita) Trek-Segafredo; 
118;Daniele Bennati (Ita) Movistar Team;0:17:09
119;John Degenkolb (Ger) Trek-Segafredo;0:17:11
120;Marcel Kittel (Ger) Quick-Step Floors;0:17:55
121;Gianluca Brambilla (Ita) Quick-Step Floors;0:18:05
122;Darwin Atapuma (Col) UAE Team Emirates;0:18:07
123;Damien Howson (Aus) Orica-Scott;0:18:09
124;Christian Knees (Ger) Team Sky;0:18:16
125;Jos Van Emden (Ned) Team LottoNl-Jumbo;0:18:27
126;Dario Cataldo (Ita) Astana Pro Team;0:18:38
127;Fabio Sabatini (Ita) Quick-Step Floors;0:18:43
128;Nils Politt (Ger) Katusha-Alpecin;0:18:44
129;Andriy Grivko (Ukr) Astana Pro Team;0:19:03
130;Grega Bole (Slo) Bahrain-Merida;0:19:18
131;Florian Vachon (Fra) Team Fortuneo - Oscaro;0:19:22
132;Ramon Sinkeldam (Ned) Team Sunweb;0:19:43
133;Arnaud Demare (Fra) FDJ;0:19:48
134;Thomas Voeckler (Fra) Direct Energie;0:19:49
135;Mathew Hayman (Aus) Orica-Scott;0:19:58
136;Nacer Bouhanni (Fra) Cofidis, Solutions Credits;0:20:06
137;Dylan Groenewegen (Ned) Team LottoNl-Jumbo;0:20:19
138;Scott Thwaites (GBr) Dimension Data;0:20:22
139;Amael Moinard (Fra) BMC Racing Team;0:20:44
140;Nathan Brown (USA) Cannondale-Drapac;0:20:50
141;Roy Curvers (Ned) Team Sunweb;0:20:55
142;Christophe Laporte (Fra) Cofidis, Solutions Credits;0:21:07
143;Ben Swift (GBr) UAE Team Emirates;0:21:09
144;Tsgabu Grmay (Eth) Bahrain-Merida;0:21:20
145;Yohann Gene (Fra) Direct Energie;0:21:28
146;Alexander Kristoff (Nor) Katusha-Alpecin;0:21:31
147;Pawel Poljanski (Pol) Bora-Hansgrohe;0:21:59
148;Javier Moreno (Spa) Bahrain-Merida;0:22:03
149;Dmitriy Gruzdev (Kaz) Astana Pro Team;0:22:04
150;Bernhard Eisel (Aut) Dimension Data;0:22:41
151;André Greipel (Ger) Lotto Soudal;0:22:44
152;Daniel Mclay (GBr) Team Fortuneo - Oscaro;0:22:50
153;Andrey Amador (CRc) Movistar Team;0:23:22
154;Jasha Sütterlin (Ger) Movistar Team;0:23:27
155;Marcel Sieberg (Ger) Lotto Soudal;0:23:34
156;Alessandro De Marchi (Ita) BMC Racing Team;0:23:49
157;Florian Senechal (Fra) Cofidis, Solutions Credits;0:24:10
158;Adam James Hansen (Aus) Lotto Soudal;0:24:14
159;Mark Renshaw (Aus) Dimension Data;0:24:29
160;Dylan Van Baarle (Ned) Cannondale-Drapac;0:25:10
161;Taylor Phinney (USA) Cannondale-Drapac;0:25:21
162;Michael Schär (Swi) BMC Racing Team;0:25:24
163;Michael Gogl (Aut) Trek-Segafredo;0:25:31
164;Stephen Cummings (GBr) Dimension Data;0:25:58
165;Romain Sicard (Fra) Direct Energie;0:26:00
166;Ignatas Konovalovas (Ltu) FDJ;0:26:04
167;Matteo Bono (Ita) UAE Team Emirates;0:26:23
168;Robert Wagner (Ger) Team LottoNl-Jumbo;0:26:41
169;Thomas De Gendt (Bel) Lotto Soudal;0:26:46
170;Cyril Lemoine (Fra) Cofidis, Solutions Credits;0:26:49
171;Laurent Pichon (Fra) Team Fortuneo - Oscaro;0:26:50
172;Matteo Trentin (Ita) Quick-Step Floors;0:26:51
173;Tony Martin (Ger) Katusha-Alpecin;0:26:59
174;Guillaume Van Keirsbulck (Bel) Wanty - Groupe Gobert; 
175;Thomas Boudat (Fra) Direct Energie;0:27:19
176;Frederik Backaert (Bel) Wanty - Groupe Gobert;0:27:23
177;Borut Bozic (Slo) Bahrain-Merida;0:27:27
178;Jacopo Guarnieri (Ita) FDJ;0:28:34
179;Bakhtiyar Kozhatayev (Kaz) Astana Pro Team;0:29:47
180;Dimitri Claeys (Bel) Cofidis, Solutions Credits;0:30:11
181;Julien Vermote (Bel) Quick-Step Floors;0:30:21
182;Axel Domont (Fra) AG2R La Mondiale;0:30:22
183;Davide Cimolai (Ita) FDJ;0:32:37
184;Jaco Venter (RSA) Dimension Data;0:32:56
185;Rüdiger Selig (Ger) Bora-Hansgrohe;0:33:29
186;Albert Timmer (Ned) Team Sunweb;0:33:31
187;Juraj Sagan (Svk) Bora-Hansgrohe;0:35:35
188;Marco Haller (Aut) Katusha-Alpecin;0:36:29
189;Reto Hollenstein (Swi) Katusha-Alpecin;0:37:16
190;Mickael Delage (Fra) FDJ;0:40:05
191;Luke Rowe (GBr) Team Sky;0:41:47
192;Thomas Leezer (Ned) Team LottoNl-Jumbo;0:43:25
193;Olivier Le Gac (Fra) FDJ;0:58:57
