position;rider;result
1;Christopher Froome (GBr) Team Sky;38:26:28
2;Fabio Aru (Ita) Astana Pro Team;0:00:18
3;Romain Bardet (Fra) AG2R La Mondiale;0:00:51
4;Rigoberto Uran (Col) Cannondale-Drapac;0:00:55
5;Jakob Fuglsang (Den) Astana Pro Team;0:01:37
6;Daniel Martin (Irl) Quick-Step Floors;0:01:44
7;Simon Yates (GBr) Orica-Scott;0:02:02
8;Nairo Quintana (Col) Movistar Team;0:02:13
9;Mikel Landa (Spa) Team Sky;0:03:06
10;George Bennett (NZl) Team LottoNl-Jumbo;0:03:53
11;Louis Meintjes (RSA) UAE Team Emirates;0:05:00
12;Alberto Contador (Spa) Trek-Segafredo;0:05:15
13;Pierre Latour (Fra) AG2R La Mondiale;0:05:30
14;Mikel Nieve (Spa) Team Sky;0:06:18
15;Sergio Henao (Col) Team Sky;0:06:55
16;Damiano Caruso (Ita) BMC Racing Team;0:06:58
17;Alexis Vuillermoz (Fra) AG2R La Mondiale;0:07:56
18;Emanuel Buchmann (Ger) Bora-Hansgrohe;0:08:46
19;Carlos Betancur (Col) Movistar Team;0:10:34
20;Brice Feillu (Fra) Team Fortuneo - Oscaro;0:11:43
21;Warren Barguil (Fra) Team Sunweb;0:14:11
22;Guillaume Martin (Fra) Wanty - Groupe Gobert;0:15:23
23;Tiesj Benoot (Bel) Lotto Soudal;0:18:44
24;Jan Bakelants (Bel) AG2R La Mondiale;0:20:02
25;Roman Kreuziger (Cze) Orica-Scott;0:21:06
26;Daniel Navarro (Spa) Cofidis, Solutions Credits;0:21:08
27;Bauke Mollema (Ned) Trek-Segafredo;0:22:55
28;Jarlinson Pantano (Col) Trek-Segafredo;0:23:05
29;Tony Gallopin (Fra) Lotto Soudal;0:25:44
30;Sylvain Chavanel (Fra) Direct Energie;0:26:10
31;Andrew Talansky (USA) Cannondale-Drapac;0:29:11
32;Serge Pauwels (Bel) Dimension Data;0:29:14
33;Nicolas Roche (Irl) BMC Racing Team;0:29:28
34;Eduardo Sepulveda (Arg) Team Fortuneo - Oscaro;0:31:24
35;Thomas Degand (Bel) Wanty - Groupe Gobert;0:31:50
36;Esteban Chaves (Col) Orica-Scott;0:32:03
37;Primoz Roglic (Slo) Team LottoNl-Jumbo;0:32:58
38;Pierre Rolland (Fra) Cannondale-Drapac;0:33:25
39;Lilian Calmejane (Fra) Direct Energie;0:34:51
40;Haimar Zubeldia (Spa) Trek-Segafredo;0:36:30
41;Jonathan Castroviejo (Spa) Movistar Team;0:36:38
42;Romain Hardy (Fra) Team Fortuneo - Oscaro;0:36:52
43;Rafal Majka (Pol) Bora-Hansgrohe;0:37:26
44;Ben Gastauer (Lux) AG2R La Mondiale;0:37:40
45;Mathias Frank (Swi) AG2R La Mondiale;0:38:34
46;Janez Brajkovic (Slo) Bahrain-Merida;0:39:28
47;Laurens Ten Dam (Ned) Team Sunweb;0:39:39
48;Luis Angel Mate (Spa) Cofidis, Solutions Credits;0:40:27
49;Robert Kiserlovski (Cro) Katusha-Alpecin;0:42:04
50;Nicolas Edet (Fra) Cofidis, Solutions Credits;0:42:40
51;Marco Minnaard (Ned) Wanty - Groupe Gobert;0:42:50
52;Ondrej Cink (Cze) Bahrain-Merida;0:43:22
53;Arthur Vichot (Fra) FDJ;0:43:30
54;Rudy Molard (Fra) FDJ;0:43:39
55;Gianluca Brambilla (Ita) Quick-Step Floors;0:43:43
56;Michael Valgren Andersen (Den) Astana Pro Team;0:43:55
57;Simon Clarke (Aus) Cannondale-Drapac;0:46:39
58;Tiago Machado (Por) Katusha-Alpecin;0:47:32
59;Nathan Brown (USA) Cannondale-Drapac;0:48:04
60;Pawel Poljanski (Pol) Bora-Hansgrohe;0:49:19
61;Andrey Zeits (Kaz) Astana Pro Team;0:49:37
62;Alexey Lutsenko (Kaz) Astana Pro Team;0:49:44
63;Maxime Bouet (Fra) Team Fortuneo - Oscaro;0:50:19
64;Oliver Naesen (Bel) AG2R La Mondiale;0:50:22
65;Yoann Offredo (Fra) Wanty - Groupe Gobert;0:50:27
66;Greg Van Avermaet (Bel) BMC Racing Team;0:50:44
67;Cyril Gautier (Fra) AG2R La Mondiale;0:51:01
68;Thibaut Pinot (Fra) FDJ;0:52:02
69;Jens Keukeleire (Bel) Orica-Scott;0:52:04
