position;rider;result
70;Jay McCarthy (Aus) Bora-Hansgrohe;0:54:19
71;Diego Ulissi (Ita) UAE Team Emirates;0:54:26
72;Daryl Impey (RSA) Orica-Scott;0:55:44
73;Perrig Quemeneur (Fra) Direct Energie;0:56:01
74;Simon Geschke (Ger) Team Sunweb;0:56:27
75;Angelo Tulik (Fra) Direct Energie;0:56:51
76;Edvald Boasson Hagen (Nor) Dimension Data;0:57:07
77;Damien Howson (Aus) Orica-Scott;0:57:45
78;Philippe Gilbert (Bel) Quick-Step Floors;0:57:59
79;Amael Moinard (Fra) BMC Racing Team;0:58:14
80;Michal Kwiatkowski (Pol) Team Sky;0:58:27
81;Axel Domont (Fra) AG2R La Mondiale;0:58:31
82;Zdenek Stybar (Cze) Quick-Step Floors;0:59:13
83;Kristijan Durasek (Cro) UAE Team Emirates;0:59:38
84;Paul Martens (Ger) Team LottoNl-Jumbo;1:00:15
85;Pieter Vanspeybrouck (Bel) Wanty - Groupe Gobert;1:00:38
86;Patrick Bevin (NZl) Cannondale-Drapac; 
87;Michael Matthews (Aus) Team Sunweb;1:01:13
88;Alberto Bettiol (Ita) Cannondale-Drapac;1:01:28
89;Koen De Kort (Ned) Trek-Segafredo;1:01:31
90;Danilo Wyss (Swi) BMC Racing Team;1:01:37
91;Nils Politt (Ger) Katusha-Alpecin;1:02:23
92;Michael Albasini (Swi) Orica-Scott;1:02:55
93;Dylan Van Baarle (Ned) Cannondale-Drapac;1:02:56
94;Vegard Stake Laengen (Nor) UAE Team Emirates;1:03:03
95;Pierre Luc Perichon (Fra) Team Fortuneo - Oscaro;1:03:37
96;Maurits Lammertink (Ned) Katusha-Alpecin;1:04:27
97;Imanol Erviti (Spa) Movistar Team;1:04:50
98;Nikias Arndt (Ger) Team Sunweb;1:04:57
99;Darwin Atapuma (Col) UAE Team Emirates;1:05:27
100;Adam James Hansen (Aus) Lotto Soudal;1:05:52
101;Stefan Küng (Swi) BMC Racing Team;1:05:56
102;Dario Cataldo (Ita) Astana Pro Team;1:05:58
103;Florian Vachon (Fra) Team Fortuneo - Oscaro;1:06:42
104;Elie Gesbert (Fra) Team Fortuneo - Oscaro;1:06:46
105;Scott Thwaites (GBr) Dimension Data;1:07:42
106;Thomas De Gendt (Bel) Lotto Soudal;1:08:24
107;Michael Schär (Swi) BMC Racing Team;1:09:03
108;Alessandro De Marchi (Ita) BMC Racing Team; 
109;Javier Moreno (Spa) Bahrain-Merida;1:09:23
110;Marco Marcato (Ita) UAE Team Emirates;1:09:28
111;Andrey Amador (CRc) Movistar Team;1:10:42
112;Tim Wellens (Bel) Lotto Soudal;1:11:50
113;Jurgen Roelandts (Bel) Lotto Soudal;1:12:03
114;Lars Ytting Bak (Den) Lotto Soudal;1:12:16
115;Andrea Pasqualon (Ita) Wanty - Groupe Gobert;1:12:38
116;Julien Simon (Fra) Cofidis, Solutions Credits;1:12:52
117;Yukiya Arashiro (Jpn) Bahrain-Merida;1:12:54
118;Mike Teunissen (Ned) Team Sunweb;1:13:00
119;Rick Zabel (Ger) Katusha-Alpecin;1:13:05
120;Jesus Herrada (Spa) Movistar Team;1:13:10
121;Matteo Bono (Ita) UAE Team Emirates;1:13:43
122;Maciej Bodnar (Pol) Bora-Hansgrohe;1:14:22
123;Fabio Felline (Ita) Trek-Segafredo;1:14:43
124;John Degenkolb (Ger) Trek-Segafredo;1:14:47
125;Michael Gogl (Aut) Trek-Segafredo;1:14:49
126;Dion Smith (NZl) Wanty - Groupe Gobert;1:14:55
127;Bakhtiyar Kozhatayev (Kaz) Astana Pro Team;1:15:01
128;Jack Bauer (NZl) Quick-Step Floors;1:15:23
129;Marcus Burghardt (Ger) Bora-Hansgrohe;1:16:02
130;Timo Roosen (Ned) Team LottoNl-Jumbo;1:16:21
131;Tsgabu Grmay (Eth) Bahrain-Merida;1:17:23
132;Thomas Voeckler (Fra) Direct Energie;1:17:47
133;Dmitriy Gruzdev (Kaz) Astana Pro Team;1:18:07
134;Frederik Backaert (Bel) Wanty - Groupe Gobert;1:18:16
135;Ben Swift (GBr) UAE Team Emirates;1:18:45
136;Andriy Grivko (Ukr) Astana Pro Team;1:19:06
137;Markel Irizar (Spa) Trek-Segafredo;1:19:32
138;Jasha Sütterlin (Ger) Movistar Team;1:20:22
139;Romain Sicard (Fra) Direct Energie;1:20:54
140;Mathew Hayman (Aus) Orica-Scott;1:21:07
141;Daniele Bennati (Ita) Movistar Team;1:21:09
142;Reinardt Janse Van Rensburg (RSA) Dimension Data;1:21:22
143;Vasil Kiryienka (Blr) Team Sky;1:23:34
144;Grega Bole (Slo) Bahrain-Merida;1:23:47
145;Sonny Colbrelli (Ita) Bahrain-Merida;1:24:19
146;Cyril Lemoine (Fra) Cofidis, Solutions Credits;1:24:25
147;Laurent Pichon (Fra) Team Fortuneo - Oscaro;1:24:26
148;Tony Martin (Ger) Katusha-Alpecin;1:24:57
149;Adrien Petit (Fra) Direct Energie;1:25:05
150;Marcel Kittel (Ger) Quick-Step Floors;1:26:09
151;Christian Knees (Ger) Team Sky;1:26:30
152;Fabio Sabatini (Ita) Quick-Step Floors;1:26:57
153;Julien Vermote (Bel) Quick-Step Floors;1:27:57
154;Ramon Sinkeldam (Ned) Team Sunweb; 
155;Nacer Bouhanni (Fra) Cofidis, Solutions Credits;1:28:20
156;Dylan Groenewegen (Ned) Team LottoNl-Jumbo;1:28:33
157;Guillaume Van Keirsbulck (Bel) Wanty - Groupe Gobert;1:29:10
158;Christophe Laporte (Fra) Cofidis, Solutions Credits;1:29:21
159;Yohann Gene (Fra) Direct Energie;1:29:42
160;Alexander Kristoff (Nor) Katusha-Alpecin;1:29:45
161;Marco Haller (Aut) Katusha-Alpecin;1:29:51
162;Roy Curvers (Ned) Team Sunweb;1:30:54
163;Bernhard Eisel (Aut) Dimension Data;1:30:55
164;André Greipel (Ger) Lotto Soudal;1:30:58
165;Daniel Mclay (GBr) Team Fortuneo - Oscaro;1:31:04
166;Marcel Sieberg (Ger) Lotto Soudal;1:31:48
167;Florian Senechal (Fra) Cofidis, Solutions Credits;1:32:24
168;Taylor Phinney (USA) Cannondale-Drapac;1:33:35
169;Stephen Cummings (GBr) Dimension Data;1:34:12
170;Robert Wagner (Ger) Team LottoNl-Jumbo;1:34:55
171;Thomas Boudat (Fra) Direct Energie;1:35:33
172;Borut Bozic (Slo) Bahrain-Merida;1:35:41
173;Albert Timmer (Ned) Team Sunweb;1:37:31
174;Dimitri Claeys (Bel) Cofidis, Solutions Credits;1:38:25
175;Reto Hollenstein (Swi) Katusha-Alpecin;1:39:27
176;Davide Cimolai (Ita) FDJ;1:40:51
177;Jaco Venter (RSA) Dimension Data;1:41:10
178;Rüdiger Selig (Ger) Bora-Hansgrohe;1:41:43
179;Thomas Leezer (Ned) Team LottoNl-Jumbo;1:51:39
180;Luke Rowe (GBr) Team Sky;1:56:00
181;Olivier Le Gac (Fra) FDJ;1:56:55
