position;rider;result
1;Christopher Froome (GBr) Team Sky;33:19:10
2;Geraint Thomas (GBr) Team Sky;0:00:12
3;Fabio Aru (Ita) Astana Pro Team;0:00:14
4;Daniel Martin (Irl) Quick-Step Floors;0:00:25
5;Richie Porte (Aus) BMC Racing Team;0:00:39
6;Simon Yates (GBr) Orica-Scott;0:00:43
7;Romain Bardet (Fra) AG2R La Mondiale;0:00:47
8;Alberto Contador (Spa) Trek-Segafredo;0:00:52
9;Nairo Quintana (Col) Movistar Team;0:00:54
10;Rafal Majka (Pol) Bora-Hansgrohe;0:01:01
11;Rigoberto Uran (Col) Cannondale-Drapac; 
12;Pierre Latour (Fra) AG2R La Mondiale;0:01:07
13;Louis Meintjes (RSA) UAE Team Emirates;0:01:24
14;Emanuel Buchmann (Ger) Bora-Hansgrohe;0:01:29
15;Jakob Fuglsang (Den) Astana Pro Team;0:01:33
16;Mikel Landa (Spa) Team Sky;0:01:47
17;Andrew Talansky (USA) Cannondale-Drapac;0:01:57
18;Serge Pauwels (Bel) Dimension Data;0:02:00
19;Nicolas Roche (Irl) BMC Racing Team;0:02:14
20;Guillaume Martin (Fra) Wanty - Groupe Gobert;0:02:23
21;Sergio Henao (Col) Team Sky;0:02:32
22;George Bennett (NZl) Team LottoNl-Jumbo;0:02:34
23;Damiano Caruso (Ita) BMC Racing Team;0:02:35
24;Roman Kreuziger (Cze) Orica-Scott;0:02:41
25;Mikel Nieve (Spa) Team Sky;0:02:42
26;Esteban Chaves (Col) Orica-Scott;0:02:44
27;Carlos Betancur (Col) Movistar Team;0:03:17
28;Lilian Calmejane (Fra) Direct Energie;0:03:24
29;Brice Feillu (Fra) Team Fortuneo - Oscaro;0:03:32
30;Alexis Vuillermoz (Fra) AG2R La Mondiale;0:03:33
31;Eduardo Sepulveda (Arg) Team Fortuneo - Oscaro;0:04:10
32;Thomas Degand (Bel) Wanty - Groupe Gobert;0:04:36
33;Haimar Zubeldia (Spa) Trek-Segafredo;0:09:16
34;Jonathan Castroviejo (Spa) Movistar Team;0:09:24
35;Romain Hardy (Fra) Team Fortuneo - Oscaro;0:09:38
36;Mathias Frank (Swi) AG2R La Mondiale;0:11:20
37;Sylvain Chavanel (Fra) Direct Energie;0:11:47
38;Alexey Lutsenko (Kaz) Astana Pro Team;0:11:51
39;Luis Angel Mate (Spa) Cofidis, Solutions Credits;0:13:13
40;Janez Brajkovic (Slo) Bahrain-Merida;0:13:17
41;Jan Bakelants (Bel) AG2R La Mondiale;0:13:41
42;Warren Barguil (Fra) Team Sunweb;0:14:13
43;Daniel Navarro (Spa) Cofidis, Solutions Credits;0:14:47
44;Robert Kiserlovski (Cro) Katusha-Alpecin;0:14:50
45;Jarlinson Pantano (Col) Trek-Segafredo;0:14:54
46;Robert Gesink (Ned) Team LottoNl-Jumbo;0:14:58
47;Pierre Rolland (Fra) Cannondale-Drapac;0:15:00
48;Tiesj Benoot (Bel) Lotto Soudal;0:15:08
