position;rider;result
49;Marco Minnaard (Ned) Wanty - Groupe Gobert;0:15:36
50;Ondrej Cink (Cze) Bahrain-Merida;0:16:08
51;Arthur Vichot (Fra) FDJ;0:16:16
52;Rudy Molard (Fra) FDJ;0:16:25
53;Michael Valgren Andersen (Den) Astana Pro Team;0:16:41
54;Jay McCarthy (Aus) Bora-Hansgrohe;0:16:49
55;Tony Gallopin (Fra) Lotto Soudal;0:17:33
56;Laurens Ten Dam (Ned) Team Sunweb;0:17:42
57;Bauke Mollema (Ned) Trek-Segafredo;0:18:01
58;Simon Clarke (Aus) Cannondale-Drapac;0:19:25
59;Tiago Machado (Por) Katusha-Alpecin;0:20:18
60;Nathan Brown (USA) Cannondale-Drapac;0:20:50
61;Michal Kwiatkowski (Pol) Team Sky;0:22:02
62;Pawel Poljanski (Pol) Bora-Hansgrohe;0:22:05
63;Maxime Bouet (Fra) Team Fortuneo - Oscaro;0:23:05
64;Oliver Naesen (Bel) AG2R La Mondiale;0:23:08
65;Yoann Offredo (Fra) Wanty - Groupe Gobert;0:23:13
66;Ben Gastauer (Lux) AG2R La Mondiale;0:23:17
67;Andrey Zeits (Kaz) Astana Pro Team;0:23:26
68;Greg Van Avermaet (Bel) BMC Racing Team;0:23:30
69;Cyril Gautier (Fra) AG2R La Mondiale;0:23:47
70;Nicolas Edet (Fra) Cofidis, Solutions Credits;0:24:15
71;Thibaut Pinot (Fra) FDJ;0:24:48
72;Jens Keukeleire (Bel) Orica-Scott;0:24:50
73;Angelo Tulik (Fra) Direct Energie;0:25:24
74;Diego Ulissi (Ita) UAE Team Emirates;0:27:12
75;Daryl Impey (RSA) Orica-Scott;0:28:30
76;Primoz Roglic (Slo) Team LottoNl-Jumbo;0:28:35
77;Perrig Quemeneur (Fra) Direct Energie;0:28:47
78;Edvald Boasson Hagen (Nor) Dimension Data;0:29:53
79;Damien Howson (Aus) Orica-Scott;0:30:31
80;Gianluca Brambilla (Ita) Quick-Step Floors;0:30:43
81;Philippe Gilbert (Bel) Quick-Step Floors;0:30:45
82;Manuele Mori (Ita) UAE Team Emirates;0:30:57
83;Nikias Arndt (Ger) Team Sunweb;0:31:41
84;Zdenek Stybar (Cze) Quick-Step Floors;0:31:59
85;Alberto Bettiol (Ita) Cannondale-Drapac;0:32:09
86;Paul Martens (Ger) Team LottoNl-Jumbo;0:33:01
87;Amael Moinard (Fra) BMC Racing Team;0:33:06
88;Pieter Vanspeybrouck (Bel) Wanty - Groupe Gobert;0:33:24
89;Patrick Bevin (NZl) Cannondale-Drapac; 
90;Kristijan Durasek (Cro) UAE Team Emirates;0:33:27
91;Michael Albasini (Swi) Orica-Scott;0:33:36
92;Michael Matthews (Aus) Team Sunweb;0:33:59
93;Koen De Kort (Ned) Trek-Segafredo;0:34:17
94;Danilo Wyss (Swi) BMC Racing Team;0:34:23
95;Jurgen Roelandts (Bel) Lotto Soudal;0:34:33
96;Nils Politt (Ger) Katusha-Alpecin;0:35:09
97;Mike Teunissen (Ned) Team Sunweb;0:35:30
98;Rick Zabel (Ger) Katusha-Alpecin;0:35:35
99;Jesus Herrada (Spa) Movistar Team;0:35:40
100;Vegard Stake Laengen (Nor) UAE Team Emirates;0:35:49
101;Pierre Luc Perichon (Fra) Team Fortuneo - Oscaro;0:36:23
102;Stefan Küng (Swi) BMC Racing Team;0:36:37
103;Maciej Bodnar (Pol) Bora-Hansgrohe;0:36:52
104;Maurits Lammertink (Ned) Katusha-Alpecin;0:37:13
105;Fabio Felline (Ita) Trek-Segafredo; 
106;John Degenkolb (Ger) Trek-Segafredo;0:37:17
107;Imanol Erviti (Spa) Movistar Team;0:37:36
108;Dylan Van Baarle (Ned) Cannondale-Drapac;0:37:48
109;Darwin Atapuma (Col) UAE Team Emirates;0:38:13
110;Marcus Burghardt (Ger) Bora-Hansgrohe;0:38:32
111;Tim Wellens (Bel) Lotto Soudal;0:38:34
112;Adam James Hansen (Aus) Lotto Soudal;0:38:38
113;Dario Cataldo (Ita) Astana Pro Team;0:38:44
114;Axel Domont (Fra) AG2R La Mondiale;0:39:06
115;Florian Vachon (Fra) Team Fortuneo - Oscaro;0:39:28
116;Elie Gesbert (Fra) Team Fortuneo - Oscaro;0:39:32
117;Scott Thwaites (GBr) Dimension Data;0:40:28
118;Thomas De Gendt (Bel) Lotto Soudal;0:41:10
119;Ben Swift (GBr) UAE Team Emirates;0:41:15
120;Tsgabu Grmay (Eth) Bahrain-Merida;0:41:26
121;Michael Gogl (Aut) Trek-Segafredo;0:41:33
122;Michael Schär (Swi) BMC Racing Team;0:41:49
123;Simon Geschke (Ger) Team Sunweb;0:42:04
124;Javier Moreno (Spa) Bahrain-Merida;0:42:09
125;Dmitriy Gruzdev (Kaz) Astana Pro Team;0:42:10
126;Marco Marcato (Ita) UAE Team Emirates;0:42:14
127;Andrey Amador (CRc) Movistar Team;0:43:28
128;Mathew Hayman (Aus) Orica-Scott;0:43:37
129;Reinardt Janse Van Rensburg (RSA) Dimension Data;0:43:52
130;Alessandro De Marchi (Ita) BMC Racing Team;0:43:55
131;Lars Ytting Bak (Den) Lotto Soudal;0:45:02
132;Andrea Pasqualon (Ita) Wanty - Groupe Gobert;0:45:24
133;Dion Smith (NZl) Wanty - Groupe Gobert;0:45:36
134;Julien Simon (Fra) Cofidis, Solutions Credits;0:45:38
135;Yukiya Arashiro (Jpn) Bahrain-Merida;0:45:40
136;Jack Bauer (NZl) Quick-Step Floors;0:46:04
137;Markel Irizar (Spa) Trek-Segafredo;0:46:16
138;Grega Bole (Slo) Bahrain-Merida;0:46:17
139;Matteo Bono (Ita) UAE Team Emirates;0:46:29
140;Sonny Colbrelli (Ita) Bahrain-Merida;0:46:49
141;Cyril Lemoine (Fra) Cofidis, Solutions Credits;0:46:55
142;Laurent Pichon (Fra) Team Fortuneo - Oscaro;0:46:56
143;Timo Roosen (Ned) Team LottoNl-Jumbo;0:47:02
144;Jasha Sütterlin (Ger) Movistar Team;0:47:06
145;Vasil Kiryienka (Blr) Team Sky;0:47:19
146;Adrien Petit (Fra) Direct Energie;0:47:35
147;Daniele Bennati (Ita) Movistar Team;0:47:53
148;Marcel Kittel (Ger) Quick-Step Floors;0:48:39
149;Christian Knees (Ger) Team Sky;0:49:00
150;Jos Van Emden (Ned) Team LottoNl-Jumbo;0:49:11
151;Fabio Sabatini (Ita) Quick-Step Floors;0:49:27
152;Andriy Grivko (Ukr) Astana Pro Team;0:49:47
153;Bakhtiyar Kozhatayev (Kaz) Astana Pro Team;0:49:53
154;Julien Vermote (Bel) Quick-Step Floors;0:50:27
155;Ramon Sinkeldam (Ned) Team Sunweb; 
156;Thomas Voeckler (Fra) Direct Energie;0:50:33
157;Nacer Bouhanni (Fra) Cofidis, Solutions Credits;0:50:50
158;Frederik Backaert (Bel) Wanty - Groupe Gobert;0:51:02
159;Dylan Groenewegen (Ned) Team LottoNl-Jumbo;0:51:03
160;Christophe Laporte (Fra) Cofidis, Solutions Credits;0:51:51
161;Yohann Gene (Fra) Direct Energie;0:52:12
162;Alexander Kristoff (Nor) Katusha-Alpecin;0:52:15
163;Bernhard Eisel (Aut) Dimension Data;0:53:25
164;Matteo Trentin (Ita) Quick-Step Floors;0:53:27
165;André Greipel (Ger) Lotto Soudal;0:53:28
166;Daniel Mclay (GBr) Team Fortuneo - Oscaro;0:53:34
167;Romain Sicard (Fra) Direct Energie;0:53:40
168;Marcel Sieberg (Ger) Lotto Soudal;0:54:18
169;Florian Senechal (Fra) Cofidis, Solutions Credits;0:54:54
170;Taylor Phinney (USA) Cannondale-Drapac;0:56:05
171;Arnaud Demare (Fra) FDJ;0:56:31
172;Marco Haller (Aut) Katusha-Alpecin;0:56:35
173;Stephen Cummings (GBr) Dimension Data;0:56:42
174;Robert Wagner (Ger) Team LottoNl-Jumbo;0:57:25
175;Roy Curvers (Ned) Team Sunweb;0:57:38
176;Tony Martin (Ger) Katusha-Alpecin;0:57:43
177;Guillaume Van Keirsbulck (Bel) Wanty - Groupe Gobert; 
178;Thomas Boudat (Fra) Direct Energie;0:58:03
179;Borut Bozic (Slo) Bahrain-Merida;0:58:11
180;Jacopo Guarnieri (Ita) FDJ;0:59:18
181;Dimitri Claeys (Bel) Cofidis, Solutions Credits;1:00:55
182;Mark Renshaw (Aus) Dimension Data;1:01:12
183;Ignatas Konovalovas (Ltu) FDJ;1:02:47
184;Davide Cimolai (Ita) FDJ;1:03:21
185;Jaco Venter (RSA) Dimension Data;1:03:40
186;Rüdiger Selig (Ger) Bora-Hansgrohe;1:04:13
187;Albert Timmer (Ned) Team Sunweb;1:04:15
188;Reto Hollenstein (Swi) Katusha-Alpecin;1:08:00
189;Thomas Leezer (Ned) Team LottoNl-Jumbo;1:14:09
190;Juraj Sagan (Svk) Bora-Hansgrohe;1:15:15
191;Mickael Delage (Fra) FDJ;1:16:48
192;Luke Rowe (GBr) Team Sky;1:18:30
193;Olivier Le Gac (Fra) FDJ;1:29:41
