position;rider;result
140;Cyril Gautier (Fra) AG2R La Mondiale;0:01:43
141;Andrey Zeits (Kaz) Astana Pro Team; 
142;Marco Minnaard (Ned) Wanty - Groupe Gobert; 
143;Marcus Burghardt (Ger) Bora-Hansgrohe; 
144;Romain Hardy (Fra) Team Fortuneo - Oscaro;0:01:45
145;Adrien Petit (Fra) Direct Energie; 
146;Yukiya Arashiro (Jpn) Bahrain-Merida;0:01:46
147;Mark Cavendish (GBr) Dimension Data; 
148;Perrig Quemeneur (Fra) Direct Energie;0:01:47
149;Dion Smith (NZl) Wanty - Groupe Gobert; 
150;Jacopo Guarnieri (Ita) FDJ;0:01:48
151;Patrick Bevin (NZl) Cannondale-Drapac; 
152;Mark Renshaw (Aus) Dimension Data;0:01:50
153;Albert Timmer (Ned) Team Sunweb;0:01:51
154;Guillaume Van Keirsbulck (Bel) Wanty - Groupe Gobert;0:01:54
155;Dmitriy Gruzdev (Kaz) Astana Pro Team; 
156;Dylan Groenewegen (Ned) Team LottoNl-Jumbo;0:01:55
157;Daniel Navarro (Spa) Cofidis, Solutions Credits;0:01:57
158;Kristijan Durasek (Cro) UAE Team Emirates; 
159;Julien Vermote (Bel) Quick-Step Floors;0:01:58
160;Roy Curvers (Ned) Team Sunweb;0:02:12
161;Rick Zabel (Ger) Katusha-Alpecin; 
162;Robert Kiserlovski (Cro) Katusha-Alpecin;0:02:13
163;Luis Angel Mate (Spa) Cofidis, Solutions Credits; 
164;Scott Thwaites (GBr) Dimension Data;0:02:16
165;Ignatas Konovalovas (Ltu) FDJ;0:02:17
166;Florian Vachon (Fra) Team Fortuneo - Oscaro; 
167;Thomas De Gendt (Bel) Lotto Soudal; 
168;Elie Gesbert (Fra) Team Fortuneo - Oscaro;0:02:20
169;Nacer Bouhanni (Fra) Cofidis, Solutions Credits;0:02:23
170;Darwin Atapuma (Col) UAE Team Emirates;0:02:26
171;Borut Bozic (Slo) Bahrain-Merida;0:02:31
172;Davide Cimolai (Ita) FDJ;0:02:33
173;Thomas Boudat (Fra) Direct Energie;0:02:50
174;Jaco Venter (RSA) Dimension Data;0:02:51
175;Adam James Hansen (Aus) Lotto Soudal;0:02:59
176;Thomas Voeckler (Fra) Direct Energie;0:03:03
177;Olivier Le Gac (Fra) FDJ;0:03:06
178;Tony Gallopin (Fra) Lotto Soudal;0:05:52
179;Michael Schär (Swi) BMC Racing Team;0:06:31
180;Dylan Van Baarle (Ned) Cannondale-Drapac; 
181;Laurent Pichon (Fra) Team Fortuneo - Oscaro;0:06:51
182;Javier Moreno (Spa) Bahrain-Merida;0:07:07
183;Bakhtiyar Kozhatayev (Kaz) Astana Pro Team;0:07:15
184;Tony Martin (Ger) Katusha-Alpecin;0:09:54
185;Andrey Amador (CRc) Movistar Team;0:10:13
186;Cyril Lemoine (Fra) Cofidis, Solutions Credits;0:10:47
187;Maurits Lammertink (Ned) Katusha-Alpecin;0:10:49
188;Axel Domont (Fra) AG2R La Mondiale;0:11:02
189;Matteo Bono (Ita) UAE Team Emirates;0:11:06
190;Dimitri Claeys (Bel) Cofidis, Solutions Credits;0:11:09
191;Marco Haller (Aut) Katusha-Alpecin;0:11:15
192;Mickael Delage (Fra) FDJ;0:11:16
193;Luke Rowe (GBr) Team Sky;0:15:45
194;Reto Hollenstein (Swi) Katusha-Alpecin;0:16:02
195;Thomas Leezer (Ned) Team LottoNl-Jumbo;0:16:46
