position;rider;result
1;Geraint Thomas (GBr) Team Sky;4:53:10
2;Stefan Küng (Swi) BMC Racing Team;0:00:05
3;Marcel Kittel (Ger) Quick-Step Floors;0:00:06
4;Vasil Kiryienka (Blr) Team Sky;0:00:07
5;Matteo Trentin (Ita) Quick-Step Floors;0:00:10
6;Christopher Froome (GBr) Team Sky;0:00:12
7;Jos Van Emden (Ned) Team LottoNl-Jumbo;0:00:15
8;Michal Kwiatkowski (Pol) Team Sky; 
9;Edvald Boasson Hagen (Nor) Dimension Data;0:00:16
10;Nikias Arndt (Ger) Team Sunweb; 
11;Taylor Phinney (USA) Cannondale-Drapac;0:00:17
12;Andriy Grivko (Ukr) Astana Pro Team; 
13;Daryl Impey (RSA) Orica-Scott;0:00:19
14;Jonathan Castroviejo (Spa) Movistar Team;0:00:20
15;Michael Matthews (Aus) Team Sunweb; 
16;Pierre Latour (Fra) AG2R La Mondiale;0:00:25
17;Peter Sagan (Svk) Bora-Hansgrohe; 
18;Alexey Lutsenko (Kaz) Astana Pro Team;0:00:29
19;Philippe Gilbert (Bel) Quick-Step Floors;0:00:30
20;Robert Gesink (Ned) Team LottoNl-Jumbo;0:00:31
21;Sonny Colbrelli (Ita) Bahrain-Merida;0:00:32
22;Tim Wellens (Bel) Lotto Soudal; 
23;Maciej Bodnar (Pol) Bora-Hansgrohe;0:00:33
24;Timo Roosen (Ned) Team LottoNl-Jumbo;0:00:34
25;Alexander Kristoff (Nor) Katusha-Alpecin;0:00:36
26;Simon Yates (GBr) Orica-Scott;0:00:37
27;Fabio Felline (Ita) Trek-Segafredo; 
28;Zdenek Stybar (Cze) Quick-Step Floors;0:00:39
29;Alessandro De Marchi (Ita) BMC Racing Team; 
30;Emanuel Buchmann (Ger) Bora-Hansgrohe;0:00:40
31;Paul Martens (Ger) Team LottoNl-Jumbo; 
32;Jesus Herrada (Spa) Movistar Team; 
33;Jasha Sütterlin (Ger) Movistar Team;0:00:41
34;Mike Teunissen (Ned) Team Sunweb; 
35;Nils Politt (Ger) Katusha-Alpecin; 
36;Greg Van Avermaet (Bel) BMC Racing Team;0:00:42
37;Michael Albasini (Swi) Orica-Scott; 
38;Damien Howson (Aus) Orica-Scott;0:00:43
39;Diego Ulissi (Ita) UAE Team Emirates; 
40;Arnaud Demare (Fra) FDJ; 
41;Robert Wagner (Ger) Team LottoNl-Jumbo;0:00:45
42;Simon Geschke (Ger) Team Sunweb;0:00:46
43;Damiano Caruso (Ita) BMC Racing Team;0:00:47
44;Richie Porte (Aus) BMC Racing Team; 
45;Sylvain Chavanel (Fra) Direct Energie;0:00:48
46;Imanol Erviti (Spa) Movistar Team; 
47;Jarlinson Pantano (Col) Trek-Segafredo; 
48;Nairo Quintana (Col) Movistar Team; 
49;Rafal Majka (Pol) Bora-Hansgrohe;0:00:49
50;Andrew Talansky (USA) Cannondale-Drapac; 
51;Jack Bauer (NZl) Quick-Step Floors; 
52;Daniel Martin (Irl) Quick-Step Floors; 
53;John Degenkolb (Ger) Trek-Segafredo; 
54;Thibaut Pinot (Fra) FDJ;0:00:50
55;Romain Sicard (Fra) Direct Energie; 
56;Romain Bardet (Fra) AG2R La Mondiale;0:00:51
57;Alberto Bettiol (Ita) Cannondale-Drapac;0:00:52
58;Primoz Roglic (Slo) Team LottoNl-Jumbo; 
59;Fabio Aru (Ita) Astana Pro Team; 
60;Lilian Calmejane (Fra) Direct Energie;0:00:53
61;André Greipel (Ger) Lotto Soudal; 
62;Alberto Contador (Spa) Trek-Segafredo;0:00:54
63;Carlos Betancur (Col) Movistar Team; 
64;Jakob Fuglsang (Den) Astana Pro Team; 
65;Koen De Kort (Ned) Trek-Segafredo; 
66;Michael Valgren Andersen (Den) Astana Pro Team;0:00:55
67;Dario Cataldo (Ita) Astana Pro Team; 
68;Stephen Cummings (GBr) Dimension Data;0:00:56
69;Daniele Bennati (Ita) Movistar Team; 
70;Christian Knees (Ger) Team Sky; 
71;Roman Kreuziger (Cze) Orica-Scott; 
72;Warren Barguil (Fra) Team Sunweb;0:00:59
73;Rudy Molard (Fra) FDJ; 
74;Pierre Luc Perichon (Fra) Team Fortuneo - Oscaro; 
75;Lars Ytting Bak (Den) Lotto Soudal; 
76;Jurgen Roelandts (Bel) Lotto Soudal;0:01:00
77;Danilo Wyss (Swi) BMC Racing Team; 
78;Nicolas Edet (Fra) Cofidis, Solutions Credits; 
79;Mathew Hayman (Aus) Orica-Scott;0:01:01
80;Alexis Vuillermoz (Fra) AG2R La Mondiale;0:01:02
81;Simon Clarke (Aus) Cannondale-Drapac; 
82;Markel Irizar (Spa) Trek-Segafredo; 
83;Laurens Ten Dam (Ned) Team Sunweb;0:01:03
84;Rigoberto Uran (Col) Cannondale-Drapac; 
85;Jens Keukeleire (Bel) Orica-Scott;0:01:04
86;Maxime Bouet (Fra) Team Fortuneo - Oscaro; 
87;Tiago Machado (Por) Katusha-Alpecin; 
88;Jan Bakelants (Bel) AG2R La Mondiale;0:01:05
89;Haimar Zubeldia (Spa) Trek-Segafredo;0:01:06
90;Nathan Brown (USA) Cannondale-Drapac; 
91;Mikel Landa (Spa) Team Sky;0:01:08
92;Ben Swift (GBr) UAE Team Emirates; 
93;Mathias Frank (Swi) AG2R La Mondiale;0:01:09
94;Eduardo Sepulveda (Arg) Team Fortuneo - Oscaro; 
95;Reinardt Janse Van Rensburg (RSA) Dimension Data; 
96;Serge Pauwels (Bel) Dimension Data;0:01:10
97;Tsgabu Grmay (Eth) Bahrain-Merida; 
98;Jay McCarthy (Aus) Bora-Hansgrohe; 
99;Michael Gogl (Aut) Trek-Segafredo; 
100;Marcel Sieberg (Ger) Lotto Soudal;0:01:11
101;Vegard Stake Laengen (Nor) UAE Team Emirates; 
102;Louis Meintjes (RSA) UAE Team Emirates;0:01:12
103;Daniel Mclay (GBr) Team Fortuneo - Oscaro; 
104;Manuele Mori (Ita) UAE Team Emirates; 
105;Esteban Chaves (Col) Orica-Scott;0:01:13
106;Ondrej Cink (Cze) Bahrain-Merida; 
107;Ramon Sinkeldam (Ned) Team Sunweb; 
108;Ben Gastauer (Lux) AG2R La Mondiale; 
109;Christophe Laporte (Fra) Cofidis, Solutions Credits;0:01:14
110;Fabio Sabatini (Ita) Quick-Step Floors; 
111;Nicolas Roche (Irl) BMC Racing Team; 
112;Tiesj Benoot (Bel) Lotto Soudal;0:01:15
113;Pierre Rolland (Fra) Cannondale-Drapac;0:01:16
114;Sergio Henao (Col) Team Sky; 
115;Oliver Naesen (Bel) AG2R La Mondiale; 
116;Gianluca Brambilla (Ita) Quick-Step Floors; 
117;Frederik Backaert (Bel) Wanty - Groupe Gobert;0:01:17
118;Bauke Mollema (Ned) Trek-Segafredo;0:01:18
119;Mikel Nieve (Spa) Team Sky;0:01:20
120;Grega Bole (Slo) Bahrain-Merida; 
121;Janez Brajkovic (Slo) Bahrain-Merida; 
122;Marco Marcato (Ita) UAE Team Emirates;0:01:21
123;Andrea Pasqualon (Ita) Wanty - Groupe Gobert;0:01:23
124;Florian Senechal (Fra) Cofidis, Solutions Credits;0:01:24
125;Amael Moinard (Fra) BMC Racing Team;0:01:25
126;Brice Feillu (Fra) Team Fortuneo - Oscaro; 
127;Yohann Gene (Fra) Direct Energie;0:01:27
128;Angelo Tulik (Fra) Direct Energie; 
129;Julien Simon (Fra) Cofidis, Solutions Credits;0:01:29
130;Yoann Offredo (Fra) Wanty - Groupe Gobert; 
131;Arthur Vichot (Fra) FDJ; 
132;Thomas Degand (Bel) Wanty - Groupe Gobert; 
133;Pawel Poljanski (Pol) Bora-Hansgrohe;0:01:32
134;Pieter Vanspeybrouck (Bel) Wanty - Groupe Gobert;0:01:36
135;Juraj Sagan (Svk) Bora-Hansgrohe;0:01:37
136;George Bennett (NZl) Team LottoNl-Jumbo; 
137;Rüdiger Selig (Ger) Bora-Hansgrohe;0:01:41
138;Guillaume Martin (Fra) Wanty - Groupe Gobert;0:01:42
139;Bernhard Eisel (Aut) Dimension Data; 
